Rep,Slide,Transect,Het Grains,Malacothrix grains,,,,,,,,,,,,,
S1,1.1,1,0,1,,,,,,,,,,,,,
S1,1.1,2,0,1,,,,,,,,,,,,,
S1,1.1,3,0,2,,,,,,,,,,,,,
S1,1.1,4,0,1,,,,,,,,,,,,,
S1,1.1,5,0,4,,,,,,,,,,,,,
S1,1.1,6,0,1,,,,,,,,,,,,,
S1,1.1,7,0,1,,,,,,,,,,,,,
S1,1.1,8,0,0,,,,,,,,,,,,,
S1,1.1,9,0,4,,,,,,,,,,,,,
S1,1.1,10,0,1,,,,,,,,,,,,,
S1,1.1,stigma,0,5,,,,,,,,,,,,,
S1,1.2,1,0,1,,,,,,,,,,,,,
S1,1.2,2,0,4,3,,,,,,,,,,,,
S1,1.2,3,1,4,2,2,,,,,,,,,,,
S1,1.2,4,0,1,,,,,,,,,,,,,
S1,1.2,5,0,1,,,,,,,,,,,,,
S1,1.2,6,0,2,1,,,,,,,,,,,,
S1,1.2,7,1,1,1,,,,,,,,,,,,
S1,1.2,8,0,1,3,,,,,,,,,,,,
S1,1.2,9,0,5,1,,,,,,,,,,,,
S1,1.2,10,0,4,,,,,,,,,,,,,
S1,1.2,stigma,0,16,,,,,,,,,,,,,
S1,1.3,1,0,2,,,,,,,,,,,,,
S1,1.3,2,1,2,,,,,,,,,,,,,
S1,1.3,3,0,2,,,,,,,,,,,,,
S1,1.3,4,0,1,,,,,,,,,,,,,
S1,1.3,5,0,0,,,,,,,,,,,,,
S1,1.3,6,0,1,1,,,,,,,,,,,,
S1,1.3,7,0,1,,,,,,,,,,,,,
S1,1.3,8,0,5,,,,,,,,,,,,,
S1,1.3,9,0,1,,,,,,,,,,,,,
S1,1.3,10,0,1,2,,,,,,,,,,,,
S1,1.3,stigma,1,11,,,,,,,,,,,,,
S1,2.1,1,0,2,,,,,,,,,,,,,
S1,2.1,2,0,1,,,,,,,,,,,,,
S1,2.1,3,0,5,,,,,,,,,,,,,
S1,2.1,4,1,3,,,,,,,,,,,,,
S1,2.1,5,2,2,2,,,,,,,,,,,,
S1,2.1,6,0,5,,,,,,,,,,,,,
S1,2.1,7,1,0,,,,,,,,,,,,,
S1,2.1,8,0,2,1,,,,,,,,,,,,
S1,2.1,9,1,2,7,,,,,,,,,,,,
S1,2.1,10,0,10,,,,,,,,,,,,,
S1,2.1,stigma,1,10,,,,,,,,,,,,,
S1,2.2,1,0,4,8,3,4,,,,,,,,,,
S1,2.2,2,0,11,,,,,,,,,,,,,
S1,2.2,3,0,11,,,,,,,,,,,,,
S1,2.2,4,2,7,6,2,,,,,,,,,,,
S1,2.2,5,2,7,4,,,,,,,,,,,,
S1,2.2,6,1,1,1,,,,,,,,,,,,
S1,2.2,7,0,4,,,,,,,,,,,,,
S1,2.2,8,0,5,,,,,,,,,,,,,
S1,2.2,9,0,2,,,,,,,,,,,,,
S1,2.2,10,3,4,1,,,,,,,,,,,,
S1,2.2,stigma,0,11,,,,,,,,,,,,,
S1,3.1,1,0,2,,,,,,,,,,,,,
S1,3.1,2,1,5,3,,,,,,,,,,,,
S1,3.1,3,0,1,7,,,,,,,,,,,,
S1,3.1,4,1,4,1,,,,,,,,,,,,
S1,3.1,5,2,4,4,,,,,,,,,,,,
S1,3.1,6,0,0,0,,,,,,,,,,,,
S1,3.1,7,0,0,,,,,,,,,,,,,
S1,3.1,8,0,8,,,,,,,,,,,,,
S1,3.1,9,0,0,,,,,,,,,,,,,
S1,3.1,10,0,0,,,,,,,,,,,,,
S1,3.1,stigma,1,7,8,,,,,,,,,,,,
S1,3.2,1,,2,1,1,3,1,3,3,9,3,2,,,,
S1,3.2,2,,2,1,2,3,1,2,1,1,,,,,,
S1,3.2,3,,1,1,2,1,1,1,,,,,,,,
S1,3.2,4,,1,2,,,,,,,,,,,,
S1,3.2,5,,1,1,6,1,,,,,,,,,,
S1,3.2,6,,1,1,7,1,,,,,,,,,,
S1,3.2,7,,1,1,1,1,1,1,3,2,,,,,,
S1,3.2,8,1,1,2,1,2,2,3,,,,,,,,
S1,3.2,9,2,1,1,1,1,2,2,2,2,1,,,,,
S1,3.2,10,1,2,2,1,1,1,,,,,,,,,
S1,3.2,stigma,1,3,1,4,,,,,,,,,,,
S1,3.3,1,,1,1,1,4,1,1,,,,,,,,
S1,3.3,2,,4,1,1,3,1,,,,,,,,,
S1,3.3,3,,1,,,,,,,,,,,,,
S1,3.3,4,2,1,1,2,1,1,1,4,,,,,,,
S1,3.3,5,,1,1,1,2,2,1,2,,,,,,,
S1,3.3,6,,2,2,2,1,2,,,,,,,,,
S1,3.3,7,1,1,1,1,1,,,,,,,,,,
S1,3.3,8,,0,,,,,,,,,,,,,
S1,3.3,9,,2,1,2,1,1,1,1,,,,,,,
S1,3.3,10,,1,2,1,2,3,1,,,,,,,,
S1,3.3,stigma,,0,,,,,,,,,,,,,
O1,1.1,1,,13,1,1,1,1,5,,,,,,,,
O1,1.1,2,1,3,3,,,,,,,,,,,,
O1,1.1,3,1,3,3,2,13,1,,,,,,,,,
O1,1.1,4,,3,2,1,8,,,,,,,,,,
O1,1.1,5,,5,3,,,,,,,,,,,,
O1,1.1,6,,2,1,,,,,,,,,,,,
O1,1.1,7,,3,,,,,,,,,,,,,
O1,1.1,8,1,2,1,1,,,,,,,,,,,
O1,1.1,9,,1,4,2,,,,,,,,,,,
O1,1.1,10,4,2,1,1,3,,,,,,,,,,
O1,1.1,stigma,1,4,,,,,,,,,,,,,
O1,1.2,1,,2,1,,,,,,,,,,,,
O1,1.2,2,,2,1,,,,,,,,,,,,
O1,1.2,3,,2,,,,,,,,,,,,,
O1,1.2,4,,2,1,1,,,,,,,,,,,
O1,1.2,5,,5,,,,,,,,,,,,,
O1,1.2,6,,2,,,,,,,,,,,,,
O1,1.2,7,,2,,,,,,,,,,,,,
O1,1.2,8,1,3,3,,,,,,,,,,,,
O1,1.2,9,,5,1,4,,,,,,,,,,,
O1,1.2,10,,2,1,2,2,1,6,,,,,,,,
O1,1.2,stigma,1,10,5,,,,,,,,,,,,
O1,1.3,1,,4,1,1,3,2,4,1,,,,,,,
O1,1.3,2,1,3,1,2,,,,,,,,,,,
O1,1.3,3,1,2,1,1,,,,,,,,,,,
O1,1.3,4,1,2,1,1,7,,,,,,,,,,
O1,1.3,5,,5,1,3,,,,,,,,,,,
O1,1.3,6,,2,,,,,,,,,,,,,
O1,1.3,7,,1,3,4,,,,,,,,,,,
O1,1.3,8,,3,,,,,,,,,,,,,
O1,1.3,9,,2,1,1,1,1,1,2,1,,,,,,
O1,1.3,10,,1,2,2,4,1,,,,,,,,,
O1,1.3,stigma,,9,8,,,,,,,,,,,,
O1,2.1,1,,3,6,5,3,9,2,2,,,,,,,
O1,2.1,2,,5,1,,,,,,,,,,,,
O1,2.1,3,,13,1,,,,,,,,,,,,
O1,2.1,4,1,7,4,5,3,,,,,,,,,,
O1,2.1,5,,2,1,6,,,,,,,,,,,
O1,2.1,6,1,2,1,,,,,,,,,,,,
O1,2.1,7,,0,,,,,,,,,,,,,
O1,2.1,8,,2,1,,,,,,,,,,,,
O1,2.1,9,,1,,,,,,,,,,,,,
O1,2.1,10,,0,,,,,,,,,,,,,
O1,2.1,stigma,,16,,,,,,,,,,,,,
O1,2.2,1,,2,1,,,,,,,,,,,,
O1,2.2,2,,1,1,,,,,,,,,,,,
O1,2.2,3,1,7,1,,,,,,,,,,,,
O1,2.2,4,,6,,,,,,,,,,,,,
O1,2.2,5,1,2,2,,,,,,,,,,,,
O1,2.2,6,,2,1,1,3,,,,,,,,,,
O1,2.2,7,,1,2,1,1,1,,,,,,,,,
O1,2.2,8,1,1,3,,,,,,,,,,,,
O1,2.2,9,1,2,1,1,,,,,,,,,,,
O1,2.2,10,,2,,,,,,,,,,,,,
O1,2.2,stigma,1,10,28,,,,,,,,,,,,
O1,2.3,1,,0,,,,,,,,,,,,,
O1,2.3,2,,1,,,,,,,,,,,,,
O1,2.3,3,,2,1,,,,,,,,,,,,
O1,2.3,4,,1,,,,,,,,,,,,,
O1,2.3,5,,4,1,1,,,,,,,,,,,
O1,2.3,6,1,1,2,2,3,,,,,,,,,,
O1,2.3,7,,2,2,,,,,,,,,,,,
O1,2.3,8,1,4,1,1,10,,,,,,,,,,
O1,2.3,9,,10,3,1,1,1,1,1,,,,,,,
O1,2.3,10,2,4,1,1,1,3,8,,,,,,,,
O1,2.3,stigma,,2,,,,,,,,,,,,,
O1,3.1,1,,0,,,,,,,,,,,,,
O1,3.1,2,,1,1,1,2,,,,,,,,,,
O1,3.1,3,,1,,,,,,,,,,,,,
O1,3.1,4,,1,,,,,,,,,,,,,
O1,3.1,5,,3,1,1,1,,,,,,,,,,
O1,3.1,6,,1,1,1,1,,,,,,,,,,
O1,3.1,7,,1,1,2,2,,,,,,,,,,
O1,3.1,8,,3,1,1,1,1,,,,,,,,,
O1,3.1,9,,1,,,,,,,,,,,,,
O1,3.1,10,,1,2,2,1,2,,,,,,,,,
O1,3.1,stigma,,14,,,,,,,,,,,,,
O1,3.2,1,1,6,1,7,7,1,5,6,5,1,3,2,,,
O1,3.2,2,1,5,2,1,4,5,5,2,4,2,2,,,,
O1,3.2,3,,3,5,5,5,,,,,,,,,,
O1,3.2,4,,7,1,,,,,,,,,,,,
O1,3.2,5,,6,3,,,,,,,,,,,,
O1,3.2,6,,9,1,3,,,,,,,,,,,
O1,3.2,7,,1,8,,,,,,,,,,,,
O1,3.2,8,,1,2,1,4,1,,,,,,,,,
O1,3.2,9,3,3,2,2,2,1,3,,,,,,,,
O1,3.2,10,3,5,1,3,2,2,4,2,,,,,,,
O1,3.2,stigma,,20,3,30,8,,,,,,,,,,
O1,3.3,1,,1,1,1,3,,,,,,,,,,
O1,3.3,2,,2,7,1,1,,,,,,,,,,
O1,3.3,3,,1,2,,,,,,,,,,,,
O1,3.3,4,,1,2,1,2,,,,,,,,,,
O1,3.3,5,,1,1,1,1,,,,,,,,,,
O1,3.3,6,,3,3,,,,,,,,,,,,
O1,3.3,7,1,2,2,1,1,3,1,,,,,,,,
