"","PlantID","date","time.start","duration..min.","s.species","pre.post","visitor.rtu","v.species","behaviour","part.used","visitor.description","voucher."
"1","262","4.11.2017","13:58",15,"larrea","pre","syrphid","scaeva pyrastri","touchdown","branch","yellow and black",""
"2","262","4.11.2017","13:58",15,"larrea","pre","syrphid","scaeva pyrastri","touchdown","branch","",""
"3","262","4.11.2017","13:58",15,"larrea","pre","fly","fly","landing","branch","",""
"4","262","4.11.2017","13:58",15,"larrea","pre","syrphid","scaeva pyrastri","touchdown","","",""
"5","262","4.11.2017","13:58",15,"larrea","pre","syrphid","scaeva pyrastri","touchdown","","",""
"6","262","4.11.2017","13:58",15,"larrea","pre","ladybeetle","asian lady beetle","","understory.ground","",""
"7","275","4.11.2017","14:15",15,"larrea","pre","syrphid","scaeva pyrastri","hover","branch","",""
"8","275","4.11.2017","14:15",15,"larrea","pre","syrphid","scaeva pyrastri","landing","branch","",""
"9","275","4.11.2017","14:15",15,"larrea","pre","syrphid","scaeva pyrastri","hover then land","branch","",""
"10","275","4.11.2017","14:15",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","",""
"11","275","4.11.2017","14:15",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","",""
"12","275","4.11.2017","14:15",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","",""
"13","275","4.11.2017","14:15",15,"larrea","pre","ladybeetle","asian lady beetle","landing","branch","",""
"14","275","4.11.2017","14:15",15,"larrea","pre","ladybeetle","asian lady beetle","","branch","",""
"15","275","4.11.2017","14:15",15,"larrea","pre","unknown","?","fly near","branch","",""
"16","289","4.11.2017","14:31",15,"larrea","pre","lepidoptera","butterfly","fly near","understory","orange",""
"17","289","4.11.2017","14:31",15,"larrea","pre","apis.mellifera","Apis mellifera","fly near","","",""
"18","289","4.11.2017","14:31",15,"larrea","pre","syrphid","scaeva pyrastri","landing","understory","landed on crypt.",""
"19","289","4.11.2017","14:31",15,"larrea","pre","syrphid","scaeva pyrastri","landing","understory","grass",""
"20","289","4.11.2017","14:31",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","",""
"21","289","4.11.2017","14:31",15,"larrea","pre","syrphid","scaeva pyrastri","landing","understory","cyrpt",""
"22","289","4.11.2017","14:31",15,"larrea","pre","syrphid","scaeva pyrastri","landing","branch","",""
"23","289","4.11.2017","14:31",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","",""
"24","289","4.11.2017","14:31",15,"larrea","pre","centris","centris rhodopus","landing","understory","amsinckia",""
"25","289","4.11.2017","14:31",15,"larrea","pre","apis.mellifera","Apis mellifera","fly near","branch","",""
"26","191","4.11.2017","14:48",15,"larrea","pre","ladybeetle","asian lady beetle","landing","understory","yellow flower",""
"27","191","4.11.2017","14:48",15,"larrea","pre","fly","fly","fly near","branch","small",""
"28","191","4.11.2017","14:48",15,"larrea","pre","ladybeetle","asian lady beetle","landing","understory","yellow annual",""
"29","191","4.11.2017","14:48",15,"larrea","pre","unknown","?","fly near","branch","",""
"30","191","4.11.2017","14:48",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","",""
"31","191","4.11.2017","14:48",15,"larrea","pre","fly","fly","fly near","branch","tiny",""
"32","191","4.11.2017","14:48",15,"larrea","pre","apis.mellifera","Apis mellifera","landing","understory","amsinckia",""
"33","263","4.12.2017","15:30",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","",""
"34","263","4.12.2017","15:30",15,"larrea","pre","wasp","ammophila","landing","branch","red abdomen, thread-waisted, black thorax",""
"35","272","4.12.2017","15:59",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","",""
"36","272","4.12.2017","15:59",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","",""
"37","272","4.12.2017","15:59",15,"larrea","pre","fly","fly","fly near","understory","tiny",""
"38","272","4.12.2017","15:59",15,"larrea","pre","acari","red spider mite","crawling","branch","red spider mite",""
"39","272","4.12.2017","15:59",15,"larrea","pre","fly","fly","fly near","branch","",""
"40","272","4.12.2017","15:59",15,"larrea","pre","fly","fly","landing","branch","tiny, black/red",""
"41","272","4.12.2017","15:59",15,"larrea","pre","ladybeetle","asian lady beetle","landing","branch","",""
"42","189","4.12.2017","16:24",15,"larrea","pre","fly","fly","landing","branch","tiny",""
"43","189","4.12.2017","16:24",15,"larrea","pre","fly","fly","landing","branch","tiny",""
"44","293","4.12.2017","16:46",15,"larrea","pre","fly","fly","fly near","branch","tiny",""
"45","293","4.12.2017","16:46",15,"larrea","pre","fly","fly","fly near","branch","tiny",""
"46","293","4.12.2017","16:46",15,"larrea","pre","fly","fly","landing","branch","gnat",""
"47","293","4.12.2017","16:46",15,"larrea","pre","muscoid","Muscoidea","fly near","branch","",""
"48","300","4.13.2017","13:43",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","",""
"49","300","4.13.2017","13:43",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","",""
"50","300","4.13.2017","13:43",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","",""
"51","199","4.13.2017","14:03",15,"larrea","pre","ladybeetle","asian lady beetle","fly near","branch","",""
"52","199","4.13.2017","14:03",15,"larrea","pre","fly","fly","fly near","branch","tiny",""
"53","199","4.13.2017","14:03",15,"larrea","pre","hemiptera","rhopalidae","landing","branch","unknown, green",""
"54","199","4.13.2017","14:03",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","inspecting for 15s",""
"55","199","4.13.2017","14:03",15,"larrea","pre","apis.mellifera","Apis mellifera","landing","understory","amsinckia",""
"56","192","4.13.2017","14:31",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","",""
"57","192","4.13.2017","14:31",15,"larrea","pre","fly","fly","landing","branch","tiny",""
"58","192","4.13.2017","14:31",15,"larrea","pre","fly","fly","fly near","branch","tiny",""
"59","192","4.13.2017","14:31",15,"larrea","pre","fly","fly","fly near","branch","tiny",""
"60","192","4.13.2017","14:31",15,"larrea","pre","muscoid","Muscoidea","landing","branch","red eye, black stripes",""
"61","192","4.13.2017","14:31",15,"larrea","pre","ladybeetle","asian lady beetle","landing","branch","",""
"62","192","4.13.2017","14:31",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","understory","",""
"63","192","4.13.2017","14:31",15,"larrea","pre","apis.mellifera","Apis mellifera","fly near","understory","",""
"64","186","4.13.2017","15:02",15,"larrea","pre","apis.mellifera","Apis mellifera","landing","understory","amsinckia",""
"65","186","4.13.2017","15:02",15,"larrea","pre","apis.mellifera","Apis mellifera","landing","understory","amsinckia",""
"66","186","4.13.2017","15:02",15,"larrea","pre","syrphid","scaeva pyrastri","landing","branch","",""
"67","186","4.13.2017","15:02",15,"larrea","pre","nomada","nomada","fly near","understory","amsinckia",""
"68","186","4.13.2017","15:02",15,"larrea","pre","ladybeetle","lady beetle","landing","branch","",""
"69","282","4.15.2017","15:32",15,"larrea","pre","syrphid","","fly near","branch","",""
"70","282","4.15.2017","15:32",15,"larrea","pre","fly","","fly near","branch","tiny",""
"71","282","4.15.2017","15:32",15,"larrea","pre","acari","red spider mite","crawling","branch","red spider mite",""
"72","282","4.15.2017","15:32",15,"larrea","pre","muscoid","Muscoidea","landing","branch","",""
"73","282","4.15.2017","15:32",15,"larrea","pre","muscoid","Muscoidea","landing","branch","",""
"74","282","4.15.2017","15:32",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","inspecting branche and understory annuals",""
"75","282","4.15.2017","15:32",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","inspecting",""
"76","294","4.15.2017","15:59",15,"larrea","pre","muscoid","Muscoidea","landing","branch","",""
"77","294","4.15.2017","15:59",15,"larrea","pre","apis.mellifera","Apis mellifera","landing","understory","amsinckia",""
"78","294","4.15.2017","15:59",15,"larrea","pre","solitary.bee","solitary.bee","landing","branch","looks similar to one from buckhorn earlier, black and grey. Medium. Looks halictidae",""
"79","295","4.15.2017","14:19",15,"larrea","pre","ladybeetle","lady beetle","fly near","branch","",""
"80","295","4.15.2017","14:19",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","inspecting buds",""
"81","295","4.15.2017","14:19",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","inspecting buds",""
"82","299","4.15.2017","16:41",15,"larrea","pre","ladybeetle","lady beetle","fly near","branch","",""
"83","299","4.15.2017","16:41",15,"larrea","pre","fly","fly","","branch","tiny",""
"84","299","4.15.2017","16:41",15,"larrea","pre","fly","fly","landing","branch","small",""
"85","299","4.15.2017","16:41",15,"larrea","pre","fly","fly","fly near","branch","tiny",""
"86","299","4.15.2017","16:41",15,"larrea","pre","fly","fly ","fly near","branch","tiny",""
"87","264","4.16.2017","14:03",15,"larrea","pre","wasp","parasitoid wasp","crawling","branch","tiny, on buds",""
"88","264","4.16.2017","14:03",15,"larrea","pre","ladybeetle","lady beetle","landing","branch","may be asian",""
"89","264","4.16.2017","14:03",15,"larrea","pre","wasp","parasitoid wasp","crawling","branch","tiny, on buds",""
"90","264","4.16.2017","14:03",15,"larrea","pre","fly","fly","fly near","branch","tiny",""
"91","264","4.16.2017","14:03",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","",""
"92","264","4.16.2017","14:03",15,"larrea","pre","muscoid","Muscoidea","landing","branch","shiny",""
"93","264","4.16.2017","14:03",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","",""
"94","264","4.16.2017","14:03",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","",""
"95","276","4.16.2017","14:23",15,"larrea","pre","fly","fly","fly near","branch","tiny",""
"96","276","4.16.2017","14:23",15,"larrea","pre","fly","fly","fly near","branch","tiny",""
"97","276","4.16.2017","14:23",15,"larrea","pre","fly","fly","fly near","branch","small",""
"98","276","4.16.2017","14:23",15,"larrea","pre","fly","fly","fly near","branch","tiny",""
"99","276","4.16.2017","14:23",15,"larrea","pre","fly","fly","fly near","branch","tiny",""
"100","276","4.16.2017","14:23",15,"larrea","pre","wasp","parasitoid wasp","crawling","branch","parastoid, tiny, on buds",""
"101","276","4.16.2017","14:23",15,"larrea","pre","fly","fly","landing","branch","tiny",""
"102","276","4.16.2017","14:23",15,"larrea","pre","fly","fly","landing","branch","tiny",""
"103","276","4.16.2017","14:23",15,"larrea","pre","fly","fly","landing","branch","tiny",""
"104","276","4.16.2017","14:23",15,"larrea","pre","acari","acari","crawling","branch","",""
"105","276","4.16.2017","14:23",15,"larrea","pre","wasp","parasitoid wasp","crawling","branch","parastoid, tiny, on buds",""
"106","276","4.16.2017","14:23",15,"larrea","pre","wasp","parasitoid wasp","crawling","branch","parastoid, tiny, on buds",""
"107","286","4.16.2017","14:43",15,"larrea","pre","fly","fly","fly near","branch","tiny",""
"108","286","4.16.2017","14:43",15,"larrea","pre","ant","ant","crawling","branch","",""
"109","286","4.16.2017","14:43",15,"larrea","pre","syrphid","scaeva pyrastri","fly near","branch","",""
"110","286","4.16.2017","14:43",15,"larrea","pre","fly","fly","fly near","branch","",""
"111","286","4.16.2017","14:43",15,"larrea","pre","wasp","ammophila","crawling","understory","on ground, red and black thread-waisted wasp",""
"112","291","4.16.2017","15:02",15,"larrea","pre","syrphid","scaeva pyrastri","landing","branch","",""
"113","291","4.16.2017","15:02",15,"larrea","pre","fly","fly","fly near","understory","tiny",""
"114","291","4.16.2017","15:02",15,"larrea","pre","fly","fly","landing","branch","medium",""
"115","281","4.19.2017","13:37",15,"larrea","pre","syrphid","fly","fly near","branch","inspecting buds",""
"116","281","4.19.2017","13:37",15,"larrea","pre","fly","fly","fly near","branch","tiny",""
"117","281","4.19.2017","13:37",15,"larrea","pre","muscoid","Muscoidea","fly near","branch","medium",""
"118","281","4.19.2017","13:37",15,"larrea","pre","fly","fly","fly near","branch","small",""
"119","281","4.19.2017","13:37",15,"larrea","pre","fly","fly","fly near","branch","small",""
"120","281","4.19.2017","13:37",15,"larrea","pre","fly","fly","fly near","branch","small",""
"121","281","4.19.2017","13:37",15,"larrea","pre","muscoid","Muscoidea","landing","branch","medium",""
"122","281","4.19.2017","13:37",15,"larrea","pre","fly","fly","landing","branch","tiny",""
"123","281","4.19.2017","13:37",15,"larrea","pre","fly","fly","fly near","branch","over buds, tiny",""
"124","281","4.19.2017","13:37",15,"larrea","pre","fly","fly","fly near","branch","over buds, tiny",""
"125","281","4.19.2017","13:37",15,"larrea","pre","fly","fly","fly near","branch","over buds, tiny",""
"126","281","4.19.2017","13:37",15,"larrea","pre","fly","fly","fly near","branch","over buds, tiny",""
"127","198","4.19.2017","14:06",15,"larrea","pre","fly","fly","landing","branch","tiny",""
"128","198","4.19.2017","14:06",15,"larrea","pre","syrphid","Syrphidae","fly near","branch","first amsinkia, then larrea buds",""
"129","198","4.19.2017","14:06",15,"larrea","pre","fly","fly","landing","branch","tiny",""
"130","198","4.19.2017","14:06",15,"larrea","pre","crabronidae","crabronidae","crawling","understory","ground",""
"131","198","4.19.2017","14:06",15,"larrea","pre","fly","fly","landing","branch","tiny",""
"132","183","4.19.2017","14:33",15,"larrea","pre","wasp","ammophila","landing","branch","black and red thread waisted wasp",""
"133","183","4.19.2017","14:33",15,"larrea","pre","fly","fly","landing","branch","tiny",""
"134","183","4.19.2017","14:33",15,"larrea","pre","pentamoidae","Pentamoidae","crawling","branch","same as sample",""
"135","181","4.19.2017","14:58",15,"larrea","pre","hummingbird","hummingbird","perched","branch","",""
"136","181","4.19.2017","14:58",15,"larrea","pre","syrphid","Syrphidae","landing","branch","",""
"137","181","4.19.2017","14:58",15,"larrea","pre","wasp","wasp","landing","branch","black",""
"138","181","4.19.2017","14:58",15,"larrea","pre","fly","fly","landing","branch","tiny",""
"139","289","4.22.2017","14:28",15,"larrea","post","fly","fly","landing","branch","tiny",""
"140","289","4.22.2017","14:28",15,"larrea","post","fly","fly","landing","branch","tiny",""
"141","146","4.22.2017","15:07",15,"larrea","post","hemiptera","hemiptera","landing","flower","black and red, similar to boxelder",""
"142","146","4.22.2017","15:07",15,"larrea","post","fly","fly","fly near","branch","buds",""
"143","146","4.22.2017","15:07",15,"larrea","post","ant","ant","crawling","flower","old flower",""
