,plant.id,date,time.start,duration..min.,s.species,pre.post,visitor.rtu,behaviour,touch plant,part.used,visitor.description,voucher.
1,262,4.11.2017,13:58,15,larrea,pre,syrphid,touchdown,Y,branch,yellow and black,
2,262,4.11.2017,13:58,15,larrea,pre,syrphid,touchdown,Y,branch,,
3,262,4.11.2017,13:58,15,larrea,pre,fly,landing,Y,branch,,
4,262,4.11.2017,13:58,15,larrea,pre,syrphid,touchdown,Y,,,
5,262,4.11.2017,13:58,15,larrea,pre,syrphid,touchdown,Y,,,
6,262,4.11.2017,13:58,15,larrea,pre,ladybeetle,,N,understory.ground,,
7,275,4.11.2017,14:15,15,larrea,pre,syrphid,hover,N,branch,,
8,275,4.11.2017,14:15,15,larrea,pre,syrphid,landing,Y,branch,,
9,275,4.11.2017,14:15,15,larrea,pre,syrphid,hover then land,Y,branch,,
10,275,4.11.2017,14:15,15,larrea,pre,syrphid,fly near,N,branch,,
11,275,4.11.2017,14:15,15,larrea,pre,syrphid,fly near,N,branch,,
12,275,4.11.2017,14:15,15,larrea,pre,syrphid,fly near,N,branch,,
13,275,4.11.2017,14:15,15,larrea,pre,ladybeetle,landing,Y,branch,,
14,275,4.11.2017,14:15,15,larrea,pre,ladybeetle,,Y,branch,,
15,275,4.11.2017,14:15,15,larrea,pre,unknown,fly near,N,branch,,
16,289,4.11.2017,14:31,15,larrea,pre,lepidoptera,fly near,N,understory,orange,
17,289,4.11.2017,14:31,15,larrea,pre,apis.mellifera,fly near,N,,,
18,289,4.11.2017,14:31,15,larrea,pre,syrphid,landing,N,understory,landed on crypt.,
19,289,4.11.2017,14:31,15,larrea,pre,syrphid,landing,N,understory,grass,
20,289,4.11.2017,14:31,15,larrea,pre,syrphid,fly near,Y,branch,,
21,289,4.11.2017,14:31,15,larrea,pre,syrphid,landing,N,understory,cyrpt,
22,289,4.11.2017,14:31,15,larrea,pre,syrphid,landing,Y,branch,,
23,289,4.11.2017,14:31,15,larrea,pre,syrphid,fly near,N,branch,,
24,289,4.11.2017,14:31,15,larrea,pre,bombus,landing,N,understory,amsinckia,
25,289,4.11.2017,14:31,15,larrea,pre,apis.mellifera,fly near,N,branch,,
26,191,4.11.2017,14:48,15,larrea,pre,ladybeetle,landing,N,understory,yellow flower,
27,191,4.11.2017,14:48,15,larrea,pre,fly,fly near,N,branch,small,
28,191,4.11.2017,14:48,15,larrea,pre,ladybeetle,landing,N,understory,yellow annual,
29,191,4.11.2017,14:48,15,larrea,pre,unknown,fly near,N,branch,,
30,191,4.11.2017,14:48,15,larrea,pre,syrphid,fly near,N,branch,,
31,191,4.11.2017,14:48,15,larrea,pre,fly,fly near,N,branch,tiny,
32,191,4.11.2017,14:48,15,larrea,pre,apis.mellifera,landing,N,understory,amsinckia,
33,263,4.12.2017,15:30,15,larrea,pre,syrphid,fly near,N,branch,,
34,263,4.12.2017,15:30,15,larrea,pre,wasp,landing,Y,branch,"red abdomen, thread-waisted, black thorax",
35,272,4.12.2017,15:59,15,larrea,pre,syrphid,fly near,N,branch,,
36,272,4.12.2017,15:59,15,larrea,pre,syrphid,fly near,N,branch,,
37,272,4.12.2017,15:59,15,larrea,pre,fly,fly near,N,understory,tiny,
38,272,4.12.2017,15:59,15,larrea,pre,acari,crawling,Y,branch,red spider mite,
39,272,4.12.2017,15:59,15,larrea,pre,fly,fly near,N,branch,,
40,272,4.12.2017,15:59,15,larrea,pre,fly,landing,Y,branch,"tiny, black/red",
41,272,4.12.2017,15:59,15,larrea,pre,ladybeetle,landing,Y,branch,,
42,189,4.12.2017,16:24,15,larrea,pre,fly,landing,Y,branch,tiny,
43,189,4.12.2017,16:24,15,larrea,pre,fly,landing,Y,branch,tiny,
44,293,4.12.2017,16:46,15,larrea,pre,fly,fly near,N,branch,tiny,
45,293,4.12.2017,16:46,15,larrea,pre,fly,fly near,N,branch,tiny,
46,293,4.12.2017,16:46,15,larrea,pre,fly,landing,Y,branch,gnat,
47,293,4.12.2017,16:46,15,larrea,pre,muscoid,fly near,N,branch,,
48,300,4.13.2017,13:43,15,larrea,pre,syrphid,fly near,N,branch,,
49,300,4.13.2017,13:43,15,larrea,pre,syrphid,fly near,N,branch,,
50,300,4.13.2017,13:43,15,larrea,pre,syrphid,fly near,N,branch,,
51,199,4.13.2017,14:03,15,larrea,pre,ladybeetle,fly near,N,branch,,
52,199,4.13.2017,14:03,15,larrea,pre,fly,fly near,N,branch,tiny,
53,199,4.13.2017,14:03,15,larrea,pre,hemiptera,landing,Y,branch,"unknown, green",
54,199,4.13.2017,14:03,15,larrea,pre,syrphid,fly near,N,branch,inspecting for 15s,
55,199,4.13.2017,14:03,15,larrea,pre,apis.mellifera,landing,N,understory,amsinckia,
56,192,4.13.2017,14:31,15,larrea,pre,syrphid,fly near,N,branch,,
57,192,4.13.2017,14:31,15,larrea,pre,fly,landing,Y,branch,tiny,
58,192,4.13.2017,14:31,15,larrea,pre,fly,fly near,N,branch,tiny,
59,192,4.13.2017,14:31,15,larrea,pre,fly,fly near,N,branch,tiny,
60,192,4.13.2017,14:31,15,larrea,pre,muscoid,landing,Y,branch,"red eye, black stripes",
61,192,4.13.2017,14:31,15,larrea,pre,ladybeetle,landing,Y,branch,,
62,192,4.13.2017,14:31,15,larrea,pre,syrphid,fly near,N,understory,,
63,192,4.13.2017,14:31,15,larrea,pre,apis.mellifera,fly near,N,understory,,
64,186,4.13.2017,15:02,15,larrea,pre,apis.mellifera,landing,N,understory,amsinckia,
65,186,4.13.2017,15:02,15,larrea,pre,apis.mellifera,landing,N,understory,amsinckia,
66,186,4.13.2017,15:02,15,larrea,pre,syrphid,landing,Y,branch,,
67,186,4.13.2017,15:02,15,larrea,pre,nomada,fly near,N,understory,amsinckia,
68,186,4.13.2017,15:02,15,larrea,pre,ladybeetle,landing,Y,branch,,
69,282,4.15.2017,15:32,15,larrea,pre,syrphid,fly near,N,branch,,
70,282,4.15.2017,15:32,15,larrea,pre,fly,fly near,N,branch,tiny,
71,282,4.15.2017,15:32,15,larrea,pre,acari,crawling,Y,branch,red spider mite,
72,282,4.15.2017,15:32,15,larrea,pre,muscoid,landing,Y,branch,,
73,282,4.15.2017,15:32,15,larrea,pre,muscoid,landing,Y,branch,,
74,282,4.15.2017,15:32,15,larrea,pre,syrphid,fly near,N,branch,inspecting branche and understory annuals,
75,282,4.15.2017,15:32,15,larrea,pre,syrphid,fly near,N,branch,inspecting,
76,294,4.15.2017,15:59,15,larrea,pre,muscoid,landing,Y,branch,,
77,294,4.15.2017,15:59,15,larrea,pre,apis.mellifera,landing,N,understory,amsinckia,
78,294,4.15.2017,15:59,15,larrea,pre,solitary.bee,landing,Y,branch,"looks similar to one from buckhorn earlier, black and grey. Medium. Looks halictidae",
79,295,4.15.2017,14:19,15,larrea,pre,ladybeetle,fly near,N,branch,,
80,295,4.15.2017,14:19,15,larrea,pre,syrphid,fly near,N,branch,inspecting buds,
81,295,4.15.2017,14:19,15,larrea,pre,syrphid,fly near,N,branch,inspecting buds,
82,299,4.15.2017,16:41,15,larrea,pre,ladybeetle,fly near,N,branch,,
83,299,4.15.2017,16:41,15,larrea,pre,fly,,Y,branch,tiny,
84,299,4.15.2017,16:41,15,larrea,pre,fly,landing,Y,branch,small,
85,299,4.15.2017,16:41,15,larrea,pre,fly,fly near,N,branch,tiny,
86,299,4.15.2017,16:41,15,larrea,pre,fly,fly near,N,branch,tiny,
87,264,4.16.2017,14:03,15,larrea,pre,wasp,crawling,Y,branch,"tiny, on buds",
88,264,4.16.2017,14:03,15,larrea,pre,ladybeetle,landing,Y,branch,may be asian,
89,264,4.16.2017,14:03,15,larrea,pre,wasp,crawling,Y,branch,"tiny, on buds",
90,264,4.16.2017,14:03,15,larrea,pre,fly,fly near,N,branch,tiny,
91,264,4.16.2017,14:03,15,larrea,pre,syrphid,fly near,N,branch,,
92,264,4.16.2017,14:03,15,larrea,pre,muscoid,landing,Y,branch,shiny,
93,264,4.16.2017,14:03,15,larrea,pre,syrphid,fly near,N,branch,,
94,264,4.16.2017,14:03,15,larrea,pre,syrphid,fly near,N,branch,,
95,276,4.16.2017,14:23,15,larrea,pre,fly,fly near,N,branch,tiny,
96,276,4.16.2017,14:23,15,larrea,pre,fly,fly near,N,branch,tiny,
97,276,4.16.2017,14:23,15,larrea,pre,fly,fly near,N,branch,small,
98,276,4.16.2017,14:23,15,larrea,pre,fly,fly near,N,branch,tiny,
99,276,4.16.2017,14:23,15,larrea,pre,fly,fly near,N,branch,tiny,
100,276,4.16.2017,14:23,15,larrea,pre,wasp,crawling,Y,branch,"parastoid, tiny, on buds",
101,276,4.16.2017,14:23,15,larrea,pre,fly,landing,Y,branch,tiny,
102,276,4.16.2017,14:23,15,larrea,pre,fly,landing,Y,branch,tiny,
103,276,4.16.2017,14:23,15,larrea,pre,fly,landing,Y,branch,tiny,
104,276,4.16.2017,14:23,15,larrea,pre,acari,crawling,Y,branch,,
105,276,4.16.2017,14:23,15,larrea,pre,wasp,crawling,Y,branch,"parastoid, tiny, on buds",
106,276,4.16.2017,14:23,15,larrea,pre,wasp,crawling,Y,branch,"parastoid, tiny, on buds",
107,286,4.16.2017,14:43,15,larrea,pre,fly,fly near,N,branch,tiny,
108,286,4.16.2017,14:43,15,larrea,pre,ant,crawling,Y,branch,,
109,286,4.16.2017,14:43,15,larrea,pre,syrphid,fly near,N,branch,,
110,286,4.16.2017,14:43,15,larrea,pre,fly,fly near,N,branch,,
111,286,4.16.2017,14:43,15,larrea,pre,wasp,crawling,N,understory,"on ground, red and black thread-waisted wasp",
112,291,4.16.2017,15:02,15,larrea,pre,syrphid,landing,Y,branch,,
113,291,4.16.2017,15:02,15,larrea,pre,fly,fly near,N,understory,tiny,
114,291,4.16.2017,15:02,15,larrea,pre,fly,landing,Y,branch,medium,
115,281,4.19.2017,13:37,15,larrea,pre,syrphid,fly near,N,branch,inspecting buds,
116,281,4.19.2017,13:37,15,larrea,pre,fly,fly near,N,branch,tiny,
117,281,4.19.2017,13:37,15,larrea,pre,muscoid,fly near,N,branch,medium,
