plant.id,n.flowers,date
221,3,5.8.2017
224,1,5.8.2017
260,4,5.8.2017
204,9,5.8.2017
205,11,5.8.2017
214,5,5.8.2017
201,2,5.9.2017
243,2,5.9.2017
250,3,5.9.2017
BSUB1,2,5.9.2017
BSUB2,8,5.9.2017
BSUB3,2,5.9.2017
219,5,5.10.2017
235,5,5.10.2017
BSUB4,13,5.10.2017
253,6,5.10.2017
209,5,5.10.2017
213,8,5.10.2017
218,5,5.11.2017
223,9,5.11.2017
249,17,5.11.2017
248,9,5.11.2017
242,11,5.11.2017
239,7,5.11.2017
227,7,5.12.2017
226,5,5.12.2017
229,6,5.12.2017
231,4,5.12.2017
233,3,5.12.2017
238,6,5.12.2017
254,3,5.13.2017
237,3,5.13.2017
228,3,5.13.2017
222,2,5.13.2017
217,2,5.13.2017
207,5,5.13.2017
206,18,5.14.2017
208,5,5.14.2017
215,6,5.14.2017
225,3,5.14.2017
237,9,5.14.2017
245,5,5.14.2017
276,328,
276,328,
275,279,
275,279,
189,194,
189,194,
182,110,
182,110,
180,384,
180,384,
194,367,
194,367,
289,255,
289,255,
146,216,
146,216,
266,184,
266,184,
new1,530,
new1,530,
195,263,
195,263,
197,141,
197,141,
264,120,
264,120,
301,228,
301,228,
295,253,
295,253,
298,263,
298,263,
196,197,
196,197,
192,298,
192,298,
262,280,
262,280,
282,111,
282,111,
293,103,
293,103,
294,168,
294,168,
297,354,
297,354,
188,126,
188,126,
114,302,
114,302,
269,224,
269,224,
270,146,
270,146,
288,260,
288,260,
286,145,
286,145,
190,399,
190,399,
104,189,
104,189,
265,332,
265,332,
268,303,
268,303,
272,255,
272,255,
181,201,
181,201,
186,151,
186,151,
271,270,
271,270,
278,338,
278,338,
296,483,
296,483,
184,366,
184,366,
191,322,
191,322,
199,332,
199,332,
263,260,
263,260,
274,406,
274,406,
285,152,
285,152,
290,118,
290,118,
187,264,
187,264,
183,709,
183,709,
261,143,
261,143,
273,371,
273,371,
280,535,
280,535,
283,1080,
283,1080,
291,728,
291,728,
198 - dif dat,430,
198 - dif dat,430,
281,307,
281,307,
185,179,
185,179,
193,218,
193,218,
198,369,
198,369,
300,238,
300,238,
302,735,
302,735,
