plant.id,n.flowers,date
276,328,
276,328,
275,279,
275,279,
189,194,
189,194,
182,110,
182,110,
180,384,
180,384,
194,367,
194,367,
289,255,
289,255,
146,216,
146,216,
266,184,
266,184,
new1,530,
new1,530,
195,263,
195,263,
197,141,
197,141,
264,120,
264,120,
301,228,
301,228,
295,253,
295,253,
298,263,
298,263,
196,197,
196,197,
192,298,
192,298,
262,280,
262,280,
282,111,
282,111,
293,103,
293,103,
294,168,
294,168,
297,354,
297,354,
188,126,
188,126,
114,302,
114,302,
269,224,
269,224,
270,146,
270,146,
288,260,
288,260,
286,145,
286,145,
190,399,
190,399,
104,189,
104,189,
265,332,
265,332,
268,303,
268,303,
272,255,
272,255,
181,201,
181,201,
186,151,
186,151,
271,270,
271,270,
278,338,
278,338,
296,483,
296,483,
184,366,
184,366,
191,322,
191,322,
199,332,
199,332,
263,260,
263,260,
274,406,
274,406,
285,152,
285,152,
290,118,
290,118,
187,264,
187,264,
183,709,
183,709,
261,143,
261,143,
273,371,
273,371,
280,535,
280,535,
283,1080,
283,1080,
291,728,
291,728,
198 - dif dat,430,
198 - dif dat,430,
281,307,
281,307,
185,179,
185,179,
193,218,
193,218,
198,369,
198,369,
300,238,
300,238,
302,735,
302,735,
