plant.id,species,treatment,blooming,date,percent.cover,perennial,
296,larrea,shrub,pre,4.10.2017,15,,
296,larrea,open,pre,4.10.2017,3,,
189,larrea,shrub,pre,4.10.2017,25,,
189,larrea,open,pre,4.10.2017,2,,
192,larrea,shrub,pre,4.10.2017,40,,
192,larrea,open,pre,4.10.2017,15,,
194,larrea,shrub,pre,4.10.2017,40,,
194,larrea,open,pre,4.10.2017,3,,
184,larrea,shrub,pre,4.10.2017,70,,
184,larrea,open,pre,4.10.2017,10,,
275,larrea,shrub,pre,4.10.2017,20,,
275,larrea,open,pre,4.10.2017,2,,
241,buckhorn,shrub,pre,4.10.2017,5,,
241,buckhorn,open,pre,4.10.2017,5,,
235,buckhorn,shrub,pre,4.10.2017,2,,
235,buckhorn,open,pre,4.10.2017,2,,
234,buckhorn,shrub,pre,4.10.2017,1,,
234,buckhorn,open,pre,4.10.2017,5,,
217,buckhorn,shrub,pre,4.10.2017,2,,
217,buckhorn,open,pre,4.10.2017,10,,
203,buckhorn,shrub,pre,4.10.2017,5,,
203,buckhorn,open,pre,4.10.2017,10,,
204,buckhorn,shrub,pre,4.10.2017,5,,
204,buckhorn,open,pre,4.10.2017,2,,
197,larrea,shrub,pre,4.11.2017,40,,
197,larrea,open,pre,4.11.2017,5,,
193,larrea,shrub,pre,4.11.2017,35,,
193,larrea,open,pre,4.11.2017,1,,
187,larrea,shrub,pre,4.11.2017,20,,
187,larrea,open,pre,4.11.2017,2,,
288,larrea,shrub,pre,4.11.2017,25,,
288,larrea,open,pre,4.11.2017,1,,
273,larrea,shrub,pre,4.11.2017,20,,
273,larrea,open,pre,4.11.2017,5,,
266,larrea,shrub,pre,4.11.2017,15,,
266,larrea,open,pre,4.11.2017,1,,
249,buckhorn,shrub,pre,4.11.2017,5,,
249,buckhorn,open,pre,4.11.2017,1,,
238,buckhorn,shrub,pre,4.11.2017,35,3,
238,buckhorn,open,pre,4.11.2017,2,,
214,buckhorn,shrub,pre,4.11.2017,1,,
214,buckhorn,open,pre,4.11.2017,1,,
215,buckhorn,shrub,pre,4.11.2017,20,,
215,buckhorn,open,pre,4.11.2017,2,,
202,buckhorn,shrub,pre,4.11.2017,50,2,
202,buckhorn,open,pre,4.11.2017,1,,
201,buckhorn,shrub,pre,4.11.2017,40,1,
201,buckhorn,open,pre,4.11.2017,5,,
198,larrea,open,pre,4.12.2017,2,,
198,larrea,shrub,pre,4.12.2017,20,1,
196,larrea,open,pre,4.12.2017,2,,
196,larrea,shrub,pre,4.12.2017,30,,
289,larrea,open,pre,4.12.2017,1,,
289,larrea,shrub,pre,4.12.2017,25,,
191,larrea,open,pre,4.12.2017,2,,
191,larrea,shrub,pre,4.12.2017,40,,
180,larrea,open,pre,4.12.2017,5,,
180,larrea,shrub,pre,4.12.2017,30,,
265,larrea,open,pre,4.12.2017,2,,
265,larrea,shrub,pre,4.12.2017,10,,
259,buckhorn,open,pre,4.12.2017,2,,
259,buckhorn,shrub,pre,4.12.2017,10,,
245,buckhorn,open,pre,4.12.2017,5,1,
245,buckhorn,shrub,pre,4.12.2017,25,,
242,buckhorn,open,pre,4.12.2017,5,,
242,buckhorn,shrub,pre,4.12.2017,30,,
236,buckhorn,open,pre,4.12.2017,5,,
236,buckhorn,shrub,pre,4.12.2017,5,,
231,buckhorn,open,pre,4.12.2017,2,,
231,buckhorn,shrub,pre,4.12.2017,2,,
207,buckhorn,open,pre,4.12.2017,1,1,
