InsectID,Location,Date,PlantID,Magnet,Microsite,Flowering,Quantity,Order,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,highest.rtu,Common Name,Notes,Specimen Location,ID Keys Used
,ethanol,4.20.2017,274,,open,pre,1,Diptera,,Acalypterate,,,,,,Acalypterate,,"tiny, smaller than chloropidae. Looks like incomplete subcosta",,
,ethanol,5.5.2017,185,,open,post,1,Lepidoptera,Adeloidea,,,,,,,Adeloidea,,,,
Shrub.295.April.17.2017.Braun.1,pinned,4.17.2017,295,larrea,shrub,pre,1,Hymenoptera,,Sphecidae,,,Ammophila,,,Ammophila,,,,
Shrub.264.April.19.2017.Braun.1,pinned,4.19.2017,264,larrea,shrub,pre,1,Hymenoptera,,Sphecidae,,,Ammophila,,,Ammophila,,,,
Shrub.290.April.19.2017.Braun.2,pinned,4.19.2017,290,larrea,shrub,pre,1,Hymenoptera,,Sphecidae,,,Ammophila,,,Ammophila,,,,
Shrub.266.April.23.2017.Braun.3,pinned,4.23.2017,266,larrea,shrub,post,1,Hymenoptera,,Sphecidae,,,Ammophila,,,Ammophila,,,,
Open.303.May.5.2017.Braun.5,pinned,5.5.2017,303,larrea,open,post,1,Hymenoptera,,Andrenidae,,,Ancylandrena,,Ancylandrena larreae,Ancylandrena larreae,,,,
Shrub.288.April.11.2017.Braun.4,pinned,4.11.2017,288,larrea,shrub,pre,1,Hymenoptera,,Andrenidae,,,Andrena,,,Andrena,,"3 submarginal cells, clypeul beard. Tuft of scopa high on leg",,
Open.296.April.10.2017.Braun.3,pinned,4.10.2017,296,larrea,open,pre,1,Hymenoptera,,Andrenidae,,,Andrena,,,Andrena,,"2 submarginal cells, fovea, curly hair on underside of trochanters, metallic",,
Shrub.184.April.10.2017.Braun.1,pinned,4.10.2017,184,larrea,shrub,pre,1,Hymenoptera,,Megachilidae,,Anthidiini,Anthidium,,,Anthidium,wool-carder bee,,,
Shrub.274.May.3.2017.Braun.2,pinned,5.3.2017,274,larrea,shrub,post,1,Hymenoptera,,Megachilidae,,Anthidiini,Anthidium,,Anthidium porterae?,Anthidium,,,,
