highest.rtu,sp.clean,sp.simp
?,?,?
ACalypterate,Acalypterate,fly
Adeloidea,Adeloidea,moth
amazing squattie,amazing squattie,parasitoid wasp
Ammophila,Ammophila,predatory wasp
Andrena,Andrena,bee
Andrena?,Andrena?,bee
Andrenidae,Andrenidae,bee
Anthidium,Anthidium,bee
Anthocoridae,Anthocoridae,true bug
Aphididae,Aphididae,aphid
Aphoebantus,Aphoebantus,beefly
Apidae,Apidae,bee
Apis mellifera,Apis mellifera,bee
Apocrita,Apocrita,parasitoid wasp
Araneae,Araneae,spider
Ashmeadiella,Ashmeadiella,bee
Ashmeadiella ,Ashmeadiella,bee
Asilidae,Asilidae,robber fly
Atoposmia??,Atoposmia??,bee
Berytidae,Berytidae,true bug
Bethylidae,Bethylidae,parasitoid wasp
bethylidae?,bethylidae?,parasitoid wasp
Bombyliidae,Bombyliidae,beefly
"brown halteres, shiny black","brown halteres, shiny black",fly
Buprestidae?,Coleoptera,beetle
Calypterate,Calypterate,fly
Calypterate ,Calypterate,fly
Cecidomyiidae,Cecidomyiidae,fly
Cecidomyiidae ,Cecidomyiidae,fly
Cercopidae,Cercopidae,true bug
Chalcidoidea,Chalcidoidea,parasitoid wasp
Chalcidoidea?,Chalcidoidea?,parasitoid wasp
chamaemyiidae?,chamaemyiidae?,fly
Chloropidae?,Chloropidae?,fly
Chrysididae,Chrysididae,parasitoid wasp
Chrysomelidae,Chrysomelidae,beetle
Chrysomelidae?,Chrysomelidae?,beetle
Chrysopidae,Chrysopidae,fly
Chyromyidae,Chyromyidae,fly
Chyromyidae?,Chyromyidae?,fly
Chyromyidae? ,Chyromyidae?,fly
Cicadellidae,Cicadellidae,hopper
Coccinellidae,Coccinellidae,beetle
Coccinellidae larva,Coccinellidae larva,beetle
Coleoptera,Coleoptera,beetle
Colletes,Colletes,bee
Crabonidae?,Crabronidae?,predatory wasp
Crabronidae,Crabronidae,predatory wasp
Crabronidae?,Crabronidae?,predatory wasp
Curculionidae,Curculionidae,beetle
Cysteodemus,Cysteodemus,beetle
Delphacidae,Delphacidae,hopper
destroyed,destroyed,destroyed
Diadasia,Diadasia,bee
Diadasia?,Diadasia?,bee
Diptera,Diptera,fly
Distinctive stigma,Distinctive stigma,parasitoid wasp
Dryudella,Dryudella,predatory wasp
Elateridae??,Elateridae??,beetle
Encrytidae,Encrytidae,parasitoid wasp
Encyrtidae?,Encyrtidae?,parasitoid wasp
Eucera,Eucera,bee
Eucera or Mellisodes,Eucera or Mellisodes,bee
Eulophidae ,Eulophidae ,parasitoid wasp
Eupodes?,Scaeva/Eupeodes,syrphid
Eupompha elegans,Eupompha elegans,beetle
Eurytomidae ,Eurytomidae ,parasitoid wasp
eurytomidae??,Eurytomidae??,parasitoid wasp
"flat, weird, wingless, no mouthparts","flat, weird, wingless, no mouthparts",?
Formicidae,Formicidae,ant
Geocoridae,Geocoridae,true bug
Geocoridae?,Geocoridae?,true bug
Halictus,Halictus,bee
Halictus?,Halictus?,bee
Harmostes,Harmostes,true bug
Harpactorinae,Harpactorinae,true bug
Hemiptera,Hemiptera,true bug
Hemiptera?,Hemiptera?,true bug
Hemiptera? ,Hemiptera?,true bug
Hesperapis?,Hesperapis?,bee
Hoplitis,Hoplitis,bee
Hymenoptera,Hymenoptera,hymenoptera
Lasioglossum,Lasioglossum,bee
Lauxaniidae?,Lauxaniidae?,fly
Lonchaeidae?,Lonchaeidae?,fly
Lygaeoidea,Lygaeoidea,true bug
Lygaeoidea?,Lygaeoidea,true bug
Lytta auriculata,Lytta auriculata,beetle
Lytta auriculata?,Lytta auriculata,beetle
Megachile,Megachile,bee
Megachilidae,Megachilidae,bee
Mellisodes,Mellisodes,bee
Melyridae?,Coleoptera,beetle
Membracidae,Membracidae,hopper
metallic,metallic,parasitoid wasp
