Recorder,Rep,plant.id,microsite,flowering,magnet.species,phyto.species,video.date,video.length,flower.fov,visitor.descript,visitor.rtu.original,highest.rtu,flies.on,visitor.behaviour,other.description,start.time,end.time,total.time,flowers.visits,unique.fl.visited,,
Jenna,LO1,146,open,pre,larrea,malacothrix,4.10.2017,1:22:51,18,yellow faced,syrphid,eupeodes/scaeva,Y,approach,fly through,0:11:24,0:11:25,0:00:01,0,0,,
Jenna,LO1,146,open,pre,larrea,malacothrix,4.10.2017,1:22:51,18,yellow faced,syrphid,eupeodes/scaeva,Y,pollinate,,0:20:23,0:22:14,0:01:51,1,1,,
Jenna,LO1,146,open,pre,larrea,malacothrix,4.10.2017,1:22:51,18,,fly?,muscoid fly,Y,approach,fly through,0:21:41,0:21:41,0:00:00,0,0,,
Jenna,LO1,146,open,pre,larrea,malacothrix,4.10.2017,1:22:51,18,yellow faced,syrphid,eupeodes/scaeva,Y,pollinate,,0:21:49,0:26:42,0:04:53,2,1,,
Jenna,LO1,146,open,pre,larrea,malacothrix,4.10.2017,1:22:51,18,yellow faced,syrphid,eupeodes/scaeva,Y,approach,fly near plant,0:22:32,0:22:33,0:00:01,0,0,,
Jenna,LO1,146,open,pre,larrea,malacothrix,4.10.2017,1:22:51,18,yellow faced,syrphid,eupeodes/scaeva,Y,pollinate,,0:27:46,0:28:19,0:00:33,2,2,,
Jenna,LO1,146,open,pre,larrea,malacothrix,4.10.2017,1:22:51,18,yellow faced,syrphid,eupeodes/scaeva,Y,pollinate,,0:29:42,0:29:50,0:00:08,1,1,,
Jenna,LO1,146,open,pre,larrea,malacothrix,4.10.2017,1:22:51,18,yellow faced,syrphid,eupeodes/scaeva,Y,pollinate,,0:30:39,0:31:17,0:00:38,1,1,,
Jenna,LO1,146,open,pre,larrea,malacothrix,4.10.2017,1:22:51,18,yellow faced,syrphid,eupeodes/scaeva,Y,pollinate,,0:30:53,0:31:30,0:00:37,3,3,,
Jenna,LO1,146,open,pre,larrea,malacothrix,4.10.2017,1:22:51,18,yellow faced,syrphid,eupeodes/scaeva,Y,pollinate,,0:31:54,0:32:08,0:00:14,1,1,,
Jenna,LO1,146,open,pre,larrea,malacothrix,4.10.2017,1:22:51,18,yellow faced,syrphid,eupeodes/scaeva,Y,pollinate,,0:32:10,0:34:38,0:02:28,3,3,,
Jenna,LO1,146,open,pre,larrea,malacothrix,4.10.2017,1:22:51,18,yellow faced,syrphid,eupeodes/scaeva,Y,pollinate,disappears out of sight,0:33:09,0:33:17,0:00:08,1,1,,
Jenna,LO1,146,open,pre,larrea,malacothrix,4.10.2017,1:22:51,18,yellow faced,syrphid,eupeodes/scaeva,Y,pollinate,,0:34:25,0:34:39,0:00:14,1,1,,
Jenna,LO1,146,open,pre,larrea,malacothrix,4.10.2017,1:22:51,18,yellow faced,syrphid,eupeodes/scaeva,Y,pollinate,,0:34:42,0:37:38,0:02:56,1,1,,
Jenna,LO1,146,open,pre,larrea,malacothrix,4.10.2017,1:22:51,18,yellow faced,syrphid,eupeodes/scaeva,Y,pollinate,,0:42:33,0:53:06,0:10:33,5,5,,
Jenna,LO1,146,open,pre,larrea,malacothrix,4.10.2017,1:22:51,18,metallic,bee,halictid,Y,pollinate,,0:47:23,0:51:19,0:03:56,4,4,,
Jenna,LO1,146,open,pre,larrea,malacothrix,4.10.2017,1:22:51,18,metallic,bee,halictid,Y,pollinate,,0:52:41,0:53:06,0:00:25,1,1,,
Jenna,LO1,146,open,pre,larrea,malacothrix,4.10.2017,1:22:51,18,yellow faced,syrphid,eupeodes/scaeva,Y,pollinate,,1:06:53,1:08:00,0:01:07,2,2,0:00:55,
Jenna,LO1,146,open,pre,larrea,malacothrix,4.10.2017,1:22:51,18,yellow faced,syrphid,eupeodes/scaeva,Y,pollinate,,1:07:01,1:08:00,0:00:59,1,1,0:01:03,
Jenna,LO1,146,open,pre,larrea,malacothrix,4.10.2017,1:22:51,18,yellow faced,syrphid,eupeodes/scaeva,Y,pollinate,,1:08:05,1:08:42,0:00:37,4,4,0:02:07,
