"","Melyridae"
"4.10.2017 184 open",6
"4.10.2017 184 shrub",2
"4.10.2017 189 open",2
"4.10.2017 189 shrub",2
"4.10.2017 192 open",1
"4.10.2017 192 shrub",0
"4.10.2017 194 open",7
"4.10.2017 194 shrub",0
"4.10.2017 275 open",0
"4.10.2017 275 shrub",2
"4.10.2017 296 open",4
"4.10.2017 296 shrub",0
"4.11.2017 187 open",3
"4.11.2017 187 shrub",0
"4.11.2017 193 open",4
"4.11.2017 193 shrub",0
"4.11.2017 197 open",0
"4.11.2017 197 shrub",0
"4.11.2017 266 open",16
"4.11.2017 266 shrub",0
"4.11.2017 273 open",5
"4.11.2017 273 shrub",4
"4.11.2017 288 open",3
"4.11.2017 288 shrub",0
"4.12.2017 180 open",6
"4.12.2017 180 shrub",4
"4.12.2017 191 open",11
"4.12.2017 191 shrub",1
"4.12.2017 196 open",5
"4.12.2017 196 shrub",0
"4.12.2017 198 open",5
"4.12.2017 198 shrub",0
"4.12.2017 265 open",6
"4.12.2017 265 shrub",4
"4.12.2017 289 open",6
"4.12.2017 289 shrub",1
"4.13.2017 190 open",7
"4.13.2017 190 shrub",1
"4.13.2017 267 open",16
"4.13.2017 267 shrub",7
"4.13.2017 272 open",7
"4.13.2017 272 shrub",2
"4.13.2017 284 open",6
"4.13.2017 284 shrub",0
"4.13.2017 293 open",3
"4.13.2017 293 shrub",2
"4.13.2017 294 open",3
"4.13.2017 294 shrub",0
"4.15.2017 186 open",19
"4.15.2017 186 shrub",10
"4.15.2017 199 open",10
"4.15.2017 199 shrub",9
"4.15.2017 262 open",30
"4.15.2017 262 shrub",12
"4.15.2017 269 open",6
"4.15.2017 269 shrub",3
"4.15.2017 276 open",8
"4.15.2017 276 shrub",4
"4.15.2017 300 open",6
"4.15.2017 300 shrub",5
"4.16.2017 146 open",13
"4.16.2017 146 shrub",4
"4.16.2017 188 open",13
"4.16.2017 188 shrub",1
"4.16.2017 195 open",29
"4.16.2017 195 shrub",7
"4.16.2017 268 open",46
"4.16.2017 268 shrub",4
"4.16.2017 271 open",11
"4.16.2017 271 shrub",7
"4.16.2017 298 open",10
"4.16.2017 298 shrub",0
"4.17.2017 278 open",9
"4.17.2017 278 shrub",2
"4.17.2017 280 open",1
"4.17.2017 280 shrub",1
"4.17.2017 282 open",3
"4.17.2017 282 shrub",1
"4.17.2017 291 open",3
"4.17.2017 291 shrub",1
"4.17.2017 295 open",0
"4.17.2017 295 shrub",0
"4.17.2017 299 open",5
"4.17.2017 299 shrub",3
"4.19.2017 264 open",1
"4.19.2017 264 shrub",0
"4.19.2017 270 open",11
"4.19.2017 270 shrub",5
