"","uniID","mean.visit.length","mean.fl.visits.per.visit","mean.un.visits.per.visit","PlantID","SecondaryID","Cam","treatment","flowering","Date","TimeOut","flowers.shrub","flowers.pot","het.shrub.blooming.neighbours","het.cactus.blooming.neighbours","understory.richness","het.annual.floral.density","understory.assoc","total.visits","Length","pos.Length","dec.Length","visits.per.hour","t.group","mean.fl.visits.per.hour","mean.un.visits.per.hour"
"1","LO14.10.2017",0.03525,2,1.95,"146","","LO1","open","pre","4.10.2017","13:06",0,9,0,0,5,0,"NO",20,"1:22:51",2018-03-09 01:22:51,1.38083333333333,14.4840072420036,"open pre",1.44840072420036,1.41219070609535
"2","LS14.10.2017",0.08175,1.3,1.2,"146","","LS1","shrub","pre","4.10.2017","13:06",0,2,0,0,3,1,"NO",10,"1:37:04",2018-03-09 01:37:04,1.61777777777778,6.18131868131868,"shrub pre",0.803571428571429,0.741758241758242
"3","LO24.10.2017",0.0414814814814815,1.375,1.20833333333333,"193","","LO2","open","pre","4.10.2017","13:08",0,14,0,0,3,1,"NO",24,"1:30:48",2018-03-09 01:30:48,1.51333333333333,15.8590308370044,"open pre",0.908590308370044,0.798458149779736
"4","LS24.10.2017",0.0202777777777778,1.125,1.125,"193","","LS2","shrub","pre","4.10.2017","13:08",0,3,0,0,4,0,"NO",8,"1:40:22",2018-03-09 01:40:22,1.67277777777778,4.78246429757556,"shrub pre",0.672534041846563,0.672534041846563
"5","LO34.10.2017",NA,1.36363636363636,1.36363636363636,"187","","LO3","open","pre","4.10.2017","13:13",0,3,0,0,4,19,"NO",11,"0:52:39",2018-03-09 00:52:39,0.8775,12.5356125356125,"open pre",1.55400155400155,1.55400155400155
"6","LS34.10.2017",0.0130555555555556,1,1,"187","","LS3","shrub","pre","4.10.2017","13:13",0,6,0,0,4,2,"NO",5,"0:43:00",2018-03-09 00:43:00,0.716666666666667,6.97674418604651,"shrub pre",1.3953488372093,1.3953488372093
"7","LO44.10.2017",0.0306313131313131,1,1,"288","","LO4","open","pre","4.10.2017","13:17",0,13,1,0,3,0,"NO",11,"0:39:39",2018-03-09 00:39:39,0.660833333333333,16.6456494325347,"open pre",1.51324085750315,1.51324085750315
"8","LS44.10.2017",0.0206944444444444,1,1,"288","","LS4","shrub","pre","4.10.2017","13:17",0,14,1,0,3,0,"NO",4,"0:45:38",2018-03-09 00:45:38,0.760555555555556,5.25931336742148,"shrub pre",1.31482834185537,1.31482834185537
"9","LS54.10.2017",0.0818518518518518,1.33333333333333,1.33333333333333,"266","","LS5","shrub","pre","4.10.2017","13:27",0,11,0,0,2,0,"NO",3,"0:47:32",2018-03-09 00:47:32,0.792222222222222,3.78681626928471,"shrub pre",1.68302945301543,1.68302945301543
"10","LO64.10.2017",0.0525757575757576,1.45454545454545,1.45454545454545,"273","","LO6","open","pre","4.10.2017","13:22",0,1,2,0,2,0,"NO",11,"0:58:29",2018-03-09 00:58:29,0.974722222222222,11.2852664576803,"open pre",1.4922666390321,1.4922666390321
