date,Hour,Solar,Wind,Max,Air Temperature,Soil Temperature,Humidity,Dew,Wet,Baro.,Total
4.10.2017,10:00 AM,0.81,3.9,9,15,18.9,43,2.4,8.2,873,0
4.11.2017,10:00 AM,0.79,4.1,10.7,15.6,18.8,42,2.6,8.6,873,0
4.12.2017,10:00 AM,0.8,5.1,9.7,16.9,18.7,38,2.4,9.1,873,0
4.13.2017,10:00 AM,0.81,4.9,8.6,18.5,18.8,32,1.7,9.5,873,0
4.15.2017,10:00 AM,0.81,4.5,7.8,19.8,19,29,1.4,9.9,872,0
4.16.2017,10:00 AM,0.8,3.2,7.6,21,19.3,27,1.1,10.3,872,0
4.17.2017,10:00 AM,0.63,3.3,7.2,21.1,19.8,26,1.1,10.3,872,0
4.19.2017,10:00 AM,0.82,4.3,8.2,20.7,20.4,26,0.8,10,872,0
4.20.2017,10:00 AM,0.84,4.6,8.2,20.2,21,26,-0.1,9.5,871,0
4.22.2017,10:00 AM,0.76,4.7,8.2,18.8,21.5,25,-1.6,8.5,871,0
4.23.2017,10:00 AM,0.84,4.7,9.8,17.8,22,23,-3.5,7.5,871,0
4.26.2017,10:00 AM,0.8,7.1,12,17.7,22.2,23,-3.7,7.4,871,0
4.27.2017,10:00 AM,0.82,6.5,11.4,17.4,22.3,25,-2.7,7.5,872,0
4.29.2017,10:00 AM,0.86,6.8,11.1,16.8,22.2,22,-4.9,6.7,872,0
4.30.2017,10:00 AM,0.86,7.2,10.8,15.7,22.1,24,-5,6.1,871,0
5.1.2017,10:00 AM,0.85,8.2,12.5,15,21.8,24,-5.7,5.6,871,0
5.3.2017,10:00 AM,0.83,9.5,14.4,14.9,21.6,17,-10.5,4.5,871,0
5.4.2017,10:00 AM,0.86,10.5,16.3,15.3,21.3,8,-18.4,3.5,870,0
4.10.2017,11:00 AM,0.92,11.5,16.2,15,21,8,-18.4,3.3,870,0
4.11.2017,11:00 AM,0.87,14,19.8,15,20.7,7,-21.1,3,869,0
4.12.2017,11:00 AM,0.91,14.1,20,14.9,20.5,7,-20.9,3,869,0
4.13.2017,11:00 AM,0.92,13.2,19.8,15.6,20.2,6,-22.5,3.2,869,0
4.15.2017,11:00 AM,0.92,10,15,16.6,19.9,7,-19.6,4,870,0
