Recorder,Rep,plant.id,microsite,flowering,magnet.species,phyto.species,video.date,video.length,flower.fov,visitor.species,visitor.descript,visitor.rtu,visitor.behaviour,other.description,start.time,end.time,total.time,flowers.visits,unique.fl.visited,,,,,,
Brian,LO1,265,open,pre,Larrea,malacothrix,4.11.2017,1:34:53,,,,?,same1,,0:04:19,0:04:28,0:00:09,1,1,,,,,,
Brian,LO1,265,open,pre,Larrea,malacothrix,4.11.2017,1:34:53,,,,beetle?,same1,possible larva,0:06:28,0:06:33,0:00:05,1,1,,,,,,
Brian,LO1,265,open,pre,Larrea,malacothrix,4.11.2017,1:34:53,,,,beetle?,same1,,0:08:03,0:08:14,0:00:11,1,1,,,,,,
Brian,LO1,265,open,pre,Larrea,malacothrix,4.11.2017,1:34:53,,,,beetle?,same1,,0:09:03,0:09:17,0:00:14,1,1,,,,,,
Brian,LO1,265,open,pre,Larrea,malacothrix,4.11.2017,1:34:53,,,,syrphid,,,0:18:50,0:18:59,0:00:09,2,2,,,,,,
Brian,LO1,265,open,pre,Larrea,malacothrix,4.11.2017,1:34:53,,,,lady beetle,,,0:21:40,0:22:45,0:01:05,2,2,,,,,,
Brian,LO1,265,open,pre,Larrea,malacothrix,4.11.2017,1:34:53,,,,syrphid,,,0:34:08,0:34:09,0:00:01,1,1,,,,,,
Brian,LO1,265,open,pre,Larrea,malacothrix,4.11.2017,1:34:53,,,,syrphid,,,0:52:06,0:53:04,0:00:58,1,1,,,,,,
Brian,LO3,289,open,pre,Larrea,malacothrix,4.11.2017,0:56:10,,,,syrphid,hover/inspect,,0:40:37,0:40:40,0:00:03,0,0,,,,,,
Brian,LO4,191,open,pre,Larrea,malacothrix,4.11.2017,0:43:38,,,,fly? Small,,,0:12:46,0:12:57,0:00:11,2,2,,,,,,
Brian,LO4,191,open,pre,Larrea,malacothrix,4.11.2017,0:43:38,,,,hemiptera?,disappear into pot,,0:13:20,0:13:30,0:00:10,0,0,,,,,,
Brian,LO4,191,open,pre,Larrea,malacothrix,4.11.2017,0:43:38,,,,fly?,disappear in flower,,0:18:22,0:18:25,0:00:03,1,1,,,,,,
Brian,LO5,196,open,pre,Larrea,malacothrix,4.11.2017,1:15:43,,,,fly?,,,0:01:46,0:02:18,0:00:32,1,1,,,,,,
Brian,LO5,196,open,pre,Larrea,malacothrix,4.11.2017,1:15:43,,,,fly?,,,0:09:12,0:09:23,0:00:11,1,1,,,,,,
Brian,LO5,196,open,pre,Larrea,malacothrix,4.11.2017,1:15:43,,,,fly?,,,0:37:30,0:37:33,0:00:03,1,1,,,,,,
Brian,LO5,196,open,pre,Larrea,malacothrix,4.11.2017,1:15:43,,,,fly?,,,0:46:35,0:47:09,0:00:34,1,1,,,,,,
Brian,LO5,196,open,pre,Larrea,malacothrix,4.11.2017,1:15:43,,,,fly?,,,0:48:32,0:49:09,0:00:37,1,1,,,,,,
Brian,LO5,196,open,pre,Larrea,malacothrix,4.11.2017,1:15:43,,,,fly?,,,1:11:02,1:11:05,0:00:03,1,1,,,,,,
Brian,LO6,194,open,pre,Larrea,malacothrix,4.11.2017,1:16:46,,,,?,,,0:07:15,0:08:14,0:00:59,1,1,,,,,,
Brian,LO6,194,open,pre,Larrea,malacothrix,4.11.2017,1:16:46,,,,syrphid?*,*same flower as beetle,,0:09:23,0:10:32,0:01:09,1,1,,,,,,
Brian,LO6,194,open,pre,Larrea,malacothrix,4.11.2017,1:16:46,,,,syrphid?,,,0:10:26,0:13:07,0:02:41,1,1,,,,,,
Brian,LO6,194,open,pre,Larrea,malacothrix,4.11.2017,1:16:46,,,,lady beetle*,*same flower as syrphid,,0:10:32,0:10:47,0:00:15,1,1,,,,,,
Brian,LO6,194,open,pre,Larrea,malacothrix,4.11.2017,1:16:46,,,,fly?,,,0:13:01,0:13:21,0:00:20,1,1,,,,,,
Brian,LO6,194,open,pre,Larrea,malacothrix,4.11.2017,1:16:46,,,,syrphid?,,,0:14:01,0:14:30,0:00:29,2,1,,,,,,
Brian,LO6,194,open,pre,Larrea,malacothrix,4.11.2017,1:16:46,,,,syrphid?,,,0:14:51,0:19:51,0:05:00,1,1,,,,,,
Brian,LO6,194,open,pre,Larrea,malacothrix,4.11.2017,1:16:46,,,,fly?,,,0:20:03,0:20:51,0:00:48,1,1,,,,,,
Brian,LO6,194,open,pre,Larrea,malacothrix,4.11.2017,1:16:46,,,,fly?,,,0:31:35,0:32:31,0:00:56,2,2,,,,,,
Brian,LO6,194,open,pre,Larrea,malacothrix,4.11.2017,1:16:46,,,,small fly,,,0:32:15,1:16:46,0:44:31,2,2,,,,,,
Brian,LO6,194,open,pre,Larrea,malacothrix,4.11.2017,1:16:46,,,,syrphid?,,,1:02:16,1:13:12,0:10:56,1,1,,,,,,
Brian,LS1,265,shrub,pre,Larrea,malacothrix,4.11.2017,1:38:30,,,,?little guy,,,0:00:55,1:38:30,1:37:35,1,1,,,,,,
Brian,LS1,265,shrub,pre,Larrea,malacothrix,4.11.2017,1:38:30,,,,fly,,,0:02:33,0:03:19,0:00:46,1,1,,,,,,
Brian,LS1,265,shrub,pre,Larrea,malacothrix,4.11.2017,1:38:30,,,,small fly,,,0:06:43,0:07:15,0:00:32,1,1,,,,,,
Brian,LS1,265,shrub,pre,Larrea,malacothrix,4.11.2017,1:38:30,,,,small fly,,,0:23:06,0:25:40,0:02:34,1,1,,,,,,
