InsectID,Location,Date,PlantID,Magnet,Microsite,Flowering,Quantity,Order,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,highest.rtu,Common Name,Notes,Specimen Location,ID Keys Used
Open.184.April.10.2017.Braun.1,pinned,4.10.2017,184,larrea,open,pre,1,Diptera,,Syrphidae,,,Scaeva/Eupeodes,,,Scaeva/Eupeodes,hoverfly,male,,Key to the Genera of Nearctic Syrphidae
Open.184.April.10.2017.Braun.2,pinned,4.10.2017,184,larrea,open,pre,1,Diptera,,Bombyliidae,Usiinae,,,,,Usiinae,,,,"Wing venation from wikipedia, bugguide"
Shrub.184.April.10.2017.Braun.1,pinned,4.10.2017,184,larrea,shrub,pre,1,Hymenoptera,,Megachilidae,,Anthidiini,Anthidium,,,Anthidium,wool-carder bee,,,
Shrub.184.April.10.2017.Braun.2,pinned,4.10.2017,184,larrea,shrub,pre,1,Hymenoptera,,Halictidae,Halictinae,,Lasioglossum,,,Lasioglossum,,,,
Open.189.April.10.2017.Braun.1,pinned,4.10.2017,189,larrea,open,pre,1,Hymenoptera,,Halictidae,Halictinae,,Halictus,,,Halictus,,,,
Open.189.April.10.2017.Braun.2,pinned,4.10.2017,189,larrea,open,pre,1,Diptera,,Bombyliidae,Usiinae,,,,,Usiinae,,,,
Open.189.April.10.2017.Braun.3,pinned,4.10.2017,189,larrea,open,pre,1,Diptera,,Muscidae ,,,,,,Muscidae ,,,,
Open.189.April.10.2017.Braun.4,pinned,4.10.2017,189,larrea,open,pre,1,Hymenoptera,,Chrysididae,,,,,,Chrysididae,,,,
Open.189.April.10.2017.Braun.5,pinned,4.10.2017,189,larrea,open,pre,1,Hymenoptera,,Chrysididae,,,,,,Chrysididae,,,,
Open.189.April.10.2017.Braun.6,pinned,4.10.2017,189,larrea,open,pre,1,Hymenoptera,,Mutillidae,,,Lomachaeta?,,,Mutillidae,,,,
Shrub.189.April.10.2017.Braun.1,pinned,4.10.2017,189,larrea,shrub,pre,1,Hymenoptera,,Pentamoidae,,,,,,Pentamoidae,,,,
Shrub.189.April.10.2017.Braun.2,pinned,4.10.2017,189,larrea,shrub,pre,1,Hymenoptera,,Crabronidae,,,Miscophus,,"stripes, metallic head, orange tegula",Miscophus,,,,
Open.192.April.10.2017.Braun.1,pinned,4.10.2017,192,larrea,open,pre,1,Hymenoptera,,Crabronidae,,,Miscophus,,"most likely, metallic edges on abdomen, white markings on thorax",Miscophus,,,,
Open.192.April.10.2017.Braun.2,pinned,4.10.2017,192,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,goldstripes,,
Open.192.April.10.2017.Braun.3,pinned,4.10.2017,192,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,goldstripes,,
Shrub.192.April.10.2017.Braun.1,pinned,4.10.2017,192,larrea,shrub,pre,1,Hymenoptera,,Sphecidae,,,,,,Sphecidae,,,,
Shrub.192.April.10.2017.Braun.2,pinned,4.10.2017,192,larrea,shrub,pre,1,Diptera,,Syrphidae,,,Scaeva/Eupeodes,,,Scaeva/Eupeodes,,,,
Shrub.192.April.10.2017.Braun.3,pinned,4.10.2017,192,larrea,shrub,pre,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.192.April.10.2017.Braun.4,pinned,4.10.2017,192,larrea,shrub,pre,1,Hymenoptera,,Megachilidae,,,Osmia,,,Osmia,,,,
Open.194.April.10.2017.Braun.1,pinned,4.10.2017,194,larrea,open,pre,1,Hymenoptera,,Apidae,,,Apis,,Apis mellifera,Apis mellifera,honeybee,,,
Open.194.April.10.2017.Braun.2,pinned,4.10.2017,194,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,goldstripes,,
Open.194.April.10.2017.Braun.3,pinned,4.10.2017,194,larrea,open,pre,1,Diptera,,Syrphidae,,,Scaeva/Eupeodes,,,Scaeva/Eupeodes,,male,,
Open.194.April.10.2017.Braun.4,pinned,4.10.2017,194,larrea,open,pre,1,Diptera,,Bombyliidae,,,Aphoebantus,,,Aphoebantus,,,,
Shrub.275.April.10.2017.Braun.1,pinned,4.10.2017,275,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,goldstripes,,
