"","plant.id","species","treatment","blooming","date","percent.cover","rich","perennial","X","uniID","abun","H","Simpson","Species","Even"
"4.10.2017 184 open","184","larrea","open","pre","4.10.2017",10,4,"","","4.10.2017 184 open",18,1.51276339696611,0.740740740740741,6,0.844289327304549
"4.10.2017 184 shrub","184","larrea","shrub","pre","4.10.2017",70,3,"","","4.10.2017 184 shrub",16,1.4402347497046,0.6875,6,0.803810318538513
"4.10.2017 189 open","189","larrea","open","pre","4.10.2017",2,6,"","","4.10.2017 189 open",20,2.41505212191781,0.895,13,0.941559378118842
"4.10.2017 189 shrub","189","larrea","shrub","pre","4.10.2017",25,6,"","","4.10.2017 189 shrub",18,1.90803683450907,0.808641975308642,9,0.868384986309525
"4.10.2017 192 open","192","larrea","open","pre","4.10.2017",15,3,"","","4.10.2017 192 open",22,1.83027035364005,0.805785123966942,8,0.880173987560864
"4.10.2017 192 shrub","192","larrea","shrub","pre","4.10.2017",40,1,"","","4.10.2017 192 shrub",30,1.95646320382668,0.808888888888889,11,0.815908528625385
"4.10.2017 194 open","194","larrea","open","pre","4.10.2017",3,2,"","","4.10.2017 194 open",20,1.63504537105213,0.765,7,0.840247105883023
"4.10.2017 194 shrub","194","larrea","shrub","pre","4.10.2017",40,3,"","","4.10.2017 194 shrub",11,1.54030582522652,0.727272727272727,6,0.859661049197707
"4.10.2017 275 open","275","larrea","open","pre","4.10.2017",2,5,"","","4.10.2017 275 open",0,0,1,0,0
"4.10.2017 275 shrub","275","larrea","shrub","pre","4.10.2017",20,4,"","","4.10.2017 275 shrub",29,1.92558769056321,0.789536266349584,11,0.803032439492667
"4.10.2017 296 open","296","larrea","open","pre","4.10.2017",3,3,"","","4.10.2017 296 open",28,2.20312616370347,0.849489795918367,13,0.858935540888746
"4.10.2017 296 shrub","296","larrea","shrub","pre","4.10.2017",15,3,"","","4.10.2017 296 shrub",26,2.12867911022404,0.837278106508876,12,0.856643492183359
