"","uniID","sp.clean","Quantity"
"1","4.10.2017 184 open","Cicadellidae",3
"2","4.10.2017 184 open","Coleoptera",6
"3","4.10.2017 184 open","Mythicomyiidae",6
"4","4.10.2017 184 open","Scaeva/Eupeodes",1
"5","4.10.2017 184 open","Sciaridae",1
"6","4.10.2017 184 open","Usiinae",1
"7","4.10.2017 184 shrub","Anthidium",1
"8","4.10.2017 184 shrub","Chrysomelidae",1
"9","4.10.2017 184 shrub","Cicadellidae",8
"10","4.10.2017 184 shrub","Coleoptera",2
"11","4.10.2017 184 shrub","Lasioglossum",1
"12","4.10.2017 184 shrub","Nymph",3
"13","4.10.2017 189 open","Chrysididae",2
"14","4.10.2017 189 open","Cicadellidae",1
"15","4.10.2017 189 open","Coleoptera",2
"16","4.10.2017 189 open","Diptera",3
"17","4.10.2017 189 open","Halictus",1
"18","4.10.2017 189 open","Lasioglossum",1
"19","4.10.2017 189 open","Miridae",1
"20","4.10.2017 189 open","Muscidae",1
"21","4.10.2017 189 open","Mutillidae",1
"22","4.10.2017 189 open","Mythicomyiidae",4
"23","4.10.2017 189 open","Pronotacantha annulata",1
"24","4.10.2017 189 open","Sciaridae",1
"25","4.10.2017 189 open","Usiinae",1
"26","4.10.2017 189 shrub","Cercopidae",1
"27","4.10.2017 189 shrub","Cicadellidae",4
"28","4.10.2017 189 shrub","Coleoptera",2
"29","4.10.2017 189 shrub","Diptera",1
"30","4.10.2017 189 shrub","Miridae",1
"31","4.10.2017 189 shrub","Miscophus",1
"32","4.10.2017 189 shrub","Mythicomyiidae",6
"33","4.10.2017 189 shrub","Nymph",1
"34","4.10.2017 189 shrub","Pentamoidae",1
"35","4.10.2017 192 open","Aphididae",1
"36","4.10.2017 192 open","Cicadellidae",7
"37","4.10.2017 192 open","Coleoptera",1
"38","4.10.2017 192 open","Lasioglossum",2
"39","4.10.2017 192 open","Miridae",2
"40","4.10.2017 192 open","Miscophus",1
"41","4.10.2017 192 open","Mythicomyiidae",5
"42","4.10.2017 192 open","Nymph",3
"43","4.10.2017 192 shrub","Asilidae",1
"44","4.10.2017 192 shrub","Chalcidoidea",2
"45","4.10.2017 192 shrub","Chrysomelidae",1
"46","4.10.2017 192 shrub","Cicadellidae",9
"47","4.10.2017 192 shrub","Curculionidae",1
"48","4.10.2017 192 shrub","Miridae",1
"49","4.10.2017 192 shrub","Mythicomyiidae",8
"50","4.10.2017 192 shrub","Nymph",4
"51","4.10.2017 192 shrub","Osmia",1
"52","4.10.2017 192 shrub","Scaeva/Eupeodes",1
"53","4.10.2017 192 shrub","Sphecidae",1
"54","4.10.2017 194 open","Aphoebantus",1
"55","4.10.2017 194 open","Apis mellifera",1
"56","4.10.2017 194 open","Cicadellidae",5
"57","4.10.2017 194 open","Coleoptera",7
"58","4.10.2017 194 open","Lasioglossum",1
"59","4.10.2017 194 open","Mythicomyiidae",4
"60","4.10.2017 194 open","Scaeva/Eupeodes",1
"61","4.10.2017 194 shrub","Chalcidoidea",1
"62","4.10.2017 194 shrub","Cicadellidae",2
"63","4.10.2017 194 shrub","Formicidae",1
"64","4.10.2017 194 shrub","Miridae",1
"65","4.10.2017 194 shrub","Mythicomyiidae",5
"66","4.10.2017 194 shrub","Pronotacantha annulata",1
"67","4.10.2017 275 open","Zeroes",0
"68","4.10.2017 275 shrub","Asilidae",1
"69","4.10.2017 275 shrub","Chrysomelidae",1
"70","4.10.2017 275 shrub","Cicadellidae",6
"71","4.10.2017 275 shrub","Coccinellidae",1
"72","4.10.2017 275 shrub","Coleoptera",2
"73","4.10.2017 275 shrub","Lasioglossum",1
"74","4.10.2017 275 shrub","Mythicomyiidae",11
"75","4.10.2017 275 shrub","Nymph",3
"76","4.10.2017 275 shrub","Orthoptera",1
"77","4.10.2017 275 shrub","Sarcophagidae",1
"78","4.10.2017 275 shrub","Scaeva/Eupeodes",1
"79","4.10.2017 296 open","Andrena",1
"80","4.10.2017 296 open","Asilidae",1
"81","4.10.2017 296 open","Bombyliidae",1
"82","4.10.2017 296 open","Chalcidoidea",1
"83","4.10.2017 296 open","Cicadellidae",5
"84","4.10.2017 296 open","Coleoptera",4
"85","4.10.2017 296 open","Harpactorinae",1
"86","4.10.2017 296 open","Lasioglossum",1
"87","4.10.2017 296 open","Mythicomyiidae",8
"88","4.10.2017 296 open","Orthoptera",1
"89","4.10.2017 296 open","point scutellum fly",2
"90","4.10.2017 296 open","Scaeva/Eupeodes",1
"91","4.10.2017 296 open","Usiinae",1
"92","4.10.2017 296 shrub","Asilidae",1
"93","4.10.2017 296 shrub","Chrysididae",1
"94","4.10.2017 296 shrub","Cicadellidae",8
"95","4.10.2017 296 shrub","Coleoptera",1
"96","4.10.2017 296 shrub","Colletes",1
"97","4.10.2017 296 shrub","Halictus",1
"98","4.10.2017 296 shrub","Lasioglossum",2
"99","4.10.2017 296 shrub","Miridae",1
"100","4.10.2017 296 shrub","Miscophus",3
"101","4.10.2017 296 shrub","Mythicomyiidae",5
"102","4.10.2017 296 shrub","Nomadopsis",1
"103","4.10.2017 296 shrub","Therevidae",1
"104","4.11.2017 187 open","Chalcidoidea",1
"105","4.11.2017 187 open","Chrysididae",1
"106","4.11.2017 187 open","Cicadellidae",1
"107","4.11.2017 187 open","Coleoptera",3
"108","4.11.2017 187 open","Diptera",2
"109","4.11.2017 187 open","Formicidae",1
"110","4.11.2017 187 open","Mythicomyiidae",5
"111","4.11.2017 187 shrub","Cecidomyiidae",1
"112","4.11.2017 187 shrub","Cicadellidae",3
"113","4.11.2017 187 shrub","Halictus",1
"114","4.11.2017 187 shrub","Mythicomyiidae",6
"115","4.11.2017 187 shrub","Thysanoptera",1
"116","4.11.2017 193 open","Chyromyidae",1
"117","4.11.2017 193 open","Coleoptera",4
"118","4.11.2017 193 open","Diptera",3
"119","4.11.2017 193 open","Lasioglossum",2
"120","4.11.2017 193 open","Miridae",2
"121","4.11.2017 193 open","Mythicomyiidae",4
"122","4.11.2017 193 open","Thysanoptera",1
"123","4.11.2017 193 shrub","Cicadellidae",5
"124","4.11.2017 193 shrub","Crabronidae",1
"125","4.11.2017 193 shrub","Formicidae",1
"126","4.11.2017 193 shrub","Miridae",1
"127","4.11.2017 193 shrub","Muscidae",1
"128","4.11.2017 193 shrub","Mythicomyiidae",3
"129","4.11.2017 193 shrub","Nymph",2
"130","4.11.2017 193 shrub","Orthoptera",1
"131","4.11.2017 193 shrub","Sciaridae",1
"132","4.11.2017 193 shrub","Tachinidae",1
"133","4.11.2017 193 shrub","Thysanoptera",3
"134","4.11.2017 197 open","Araneae",1
"135","4.11.2017 197 open","Cicadellidae",2
"136","4.11.2017 197 open","Coleoptera",2
"137","4.11.2017 197 open","Lasioglossum",2
"138","4.11.2017 197 open","Mythicomyiidae",5
"139","4.11.2017 197 open","Pteromalidae",1
"140","4.11.2017 197 shrub","Acalypterate",2
"141","4.11.2017 197 shrub","Chrysididae",1
"142","4.11.2017 197 shrub","Cicadellidae",1
"143","4.11.2017 197 shrub","Miridae",1
"144","4.11.2017 197 shrub","Mythicomyiidae",1
"145","4.11.2017 197 shrub","Sarcophagidae",1
"146","4.11.2017 197 shrub","Thysanoptera",1
"147","4.11.2017 266 open","Cicadellidae",2
"148","4.11.2017 266 open","Coleoptera",16
"149","4.11.2017 266 open","Diptera",2
"150","4.11.2017 266 open","Miridae",1
"151","4.11.2017 266 open","Nymph",1
"152","4.11.2017 266 open","Pronotacantha annulata",1
"153","4.11.2017 266 open","Thysanoptera",1
"154","4.11.2017 266 shrub","Acalypterate",1
"155","4.11.2017 266 shrub","Chrysomelidae?",1
"156","4.11.2017 266 shrub","Chyromyidae?",2
"157","4.11.2017 266 shrub","Cicadellidae",2
