,highest.rtu,
1,,
2,?,
3,ACalypterate,Acalypterate
4,Adeloidea,Adeloidea
5,amazing squattie,amazing squattie
6,Ammophila,Ammophila
7,Andrena,Andrena
8,Andrena?,Andrena?
9,Andrenidae,Andrenidae
10,Anthidium,Anthidium
11,Anthocoridae,Anthocoridae
12,Aphididae,Aphididae
13,Aphoebantus,Aphoebantus
14,Apidae,Apidae
15,Apis mellifera,Apis mellifera
16,Apocrita,Apocrita
17,Araneae,Araneae
18,Ashmeadiella,Ashmeadiella
19,Ashmeadiella ,Ashmeadiella
20,Asilidae,Asilidae
21,Atoposmia??,Atoposmia??
22,Berytidae,Berytidae
23,Bethylidae,Bethylidae
24,bethylidae?,bethylidae?
25,Bombyliidae,Bombyliidae
26,"brown halteres, shiny black","brown halteres, shiny black"
27,Buprestidae?,Buprestidae?
28,Calypterate,Calypterate
29,Calypterate ,Calypterate 
30,Cecidomyiidae,Cecidomyiidae
31,Cecidomyiidae ,Cecidomyiidae 
32,Cercopidae,Cercopidae
33,Chalcidoidea,Chalcidoidea
34,Chalcidoidea?,Chalcidoidea?
35,chamaemyiidae?,chamaemyiidae?
36,Chloropidae?,Chloropidae?
37,Chrysididae,Chrysididae
38,Chrysomelidae,Chrysomelidae
39,Chrysomelidae?,Chrysomelidae?
40,Chrysopidae,Chrysopidae
41,Chyromyidae,Chyromyidae
42,Chyromyidae?,Chyromyidae?
43,Chyromyidae? ,Chyromyidae? 
44,Cicadellidae,Cicadellidae
45,Coccinellidae,Coccinellidae
46,Coccinellidae larva,Coccinellidae larva
47,Coleoptera,Coleoptera
48,Colletes,Colletes
49,Crabonidae?,Crabonidae?
50,Crabronidae,Crabronidae
51,Crabronidae?,Crabronidae?
52,Curculionidae,Curculionidae
53,Cysteodemus,Cysteodemus
54,Delphacidae,Delphacidae
55,destroyed,destroyed
56,Diadasia,Diadasia
57,Diadasia?,Diadasia?
58,Diptera,Diptera
59,Distinctive stigma,Distinctive stigma
60,Dryudella,Dryudella
61,Elateridae??,Elateridae??
62,Encrytidae,Encrytidae
63,Encyrtidae?,Encyrtidae?
64,Eucera,Eucera
65,Eucera or Mellisodes,Eucera or Mellisodes
66,Eulophidae ,Eulophidae 
67,Eupodes?,Scaeva/Eupeodes
68,Eupompha elegans,Eupompha elegans
69,Eurytomidae ,Eurytomidae 
70,eurytomidae??,Eurytomidae??
71,"flat, weird, wingless, no mouthparts","flat, weird, wingless, no mouthparts"
72,Formicidae,Formicidae
73,Geocoridae,Geocoridae
74,Geocoridae?,Geocoridae?
75,Halictus,Halictus
76,Halictus?,Halictus?
77,Harmostes,Harmostes
78,Harpactorinae,Harpactorinae
79,Hemiptera,Hemiptera
80,Hemiptera?,Hemiptera?
81,Hemiptera? ,Hemiptera?
82,Hesperapis?,Hesperapis?
83,Hoplitis,Hoplitis
84,Hymenoptera,Hymenoptera
85,Lasioglossum,Lasioglossum
86,Lauxaniidae?,Lauxaniidae?
87,Lonchaeidae?,Lonchaeidae?
88,Lygaeoidea,Lygaeoidea
89,Lygaeoidea?,Lygaeoidea?
90,Lytta auriculata,Lytta auriculata
91,Lytta auriculata?,Lytta auriculata?
92,Megachile,Megachile
93,Megachilidae,Megachilidae
94,Mellisodes,Mellisodes
95,Melyridae?,Melyridae?
96,Membracidae,Membracidae
97,metallic,metallic
98,Microcoryphia?,Microcoryphia?
99,Milichidae?,Milichidae?
100,Miridae,Miridae
101,Miscophus,Miscophus
102,Muscidae,Muscidae
103,Muscidae ,Muscidae
104,Muscidae?,Muscidae?
105,Mutillidae,Mutillidae
106,Mutillidae?,Mutillidae?
107,Muttilidae,Mutillidae
108,Mythicomyiidae,Mythicomyiidae
109,Nomadopsis,Nomadopsis
110,Nymph,Nymph
111,Nymph ,Nymph
112,Nymphalidae,Nymphalidae
113,or caddisfly??,or caddisfly??
114,Orthoptera,Orthoptera
115,Osmia,Osmia
116,"Pale grey, yellow veins","Pale grey, yellow veins"
117,Papilionidae,Papilionidae
118,parasitic,parasitic
119,Pentamoidae,Pentamoidae
120,Perdita,Perdita
121,Phoridae,Phoridae
122,Phoridae?,Phoridae?
123,Pipunculidae,Pipunculidae
124,Platygastridae,Platygastridae
125,point scutellum fly,point scutellum fly
126,Pompilidae,Pompilidae
127,Pronotacantha annulata,Pronotacantha annulata
128,Psylloidea,Psylloidea
129,Pteromalidae,Pteromalidae
130,Rhopalidae,Rhopalidae
131,Rhopalidae/Lygaeidae,Rhopalidae/Lygaeidae
132,Rhopalidae?,Rhopalidae/Lygaeidae
133,Richardiidae??,Richardiidae??
134,Sarcophagidae,Sarcophagidae
135,Scaeva/Eupeodes,Scaeva/Eupeodes
136,Sciaridae,Sciaridae
137,Signiphoridae,Signiphoridae
138,Solifugae,Solifugae
139,Sphecidae,Sphecidae
140,spiny wing margin,spiny wing margin
141,spotted wings,spotted wings
142,Synhalonia,Synhalonia
143,Tachinidae,Tachinidae
144,Tephritidae,Tephritidae
145,Therevidae,Therevidae
146,Thysanoptera,Thysanoptera
147,Tingidae,Tingidae
148,Torymidae,Torymidae
149,Toxomerus marginatus,Toxomerus marginatus
150,Trichogrammatidae,Trichogrammatidae
151,Trichoptera?,Trichoptera?
152,Usiinae,Usiinae
153,Vespidae,Vespidae
154,wasp,wasp
155,wingless wasp,wingless wasp
156,yellow wing veins and legs,yellow wing veins and legs
