"","means","conf","V3","V4","V5","V6","Microsite","metric"
"1",-0.449778979695982,0.95,341.6,9825.82,-0.595206147777845,-0.27379850427733,"shrub","visits"
"2",-0.348927974091969,0.95,317.7,9809.97,-0.520459345901234,-0.145116996518268,"open","visits"
"3",-0.0253413756427779,0.95,204,9698.69,-0.118009818633204,0.0559324721941832,"shrub","percent.cover"
"4",-0.303492912316442,0.95,297.46,9792.8,-0.410745668519283,-0.188928500693207,"open","percent.cover"
"5",-0.0681704260651629,0.95,211.09,9707.94,-0.141839081001266,0.00100250626566416,"shrub","annual.richness"
"6",-0.0593073593073593,0.95,235.14,9735.83,-0.137402597402597,0.0168944666940532,"open","annual.richness"
"7",-0.348493157897808,0.95,281.09,9780.28,-0.439706333675832,-0.246455745131788,"shrub","arth.abundance"
"8",-0.232811496966826,0.95,273.35,9773.29,-0.344370456274273,-0.113908696130125,"open","arth.abundance"
"9",-0.201511945458562,0.95,258.48,9759.12,-0.282251481329908,-0.118068358916982,"shrub","arth.richness"
"10",-0.142592364164027,0.95,274.9,9774.37,-0.23230507730377,-0.0466587120851384,"open","arth.richness"
