"","Recorder","Rep","plant.id","microsite","flowering","magnet.species","phyto.species","video.date","video.length","flower.fov","visitor.descript","visitor.rtu.original","highest.rtu","flies.on","visitor.behaviour","other.description","start.time","end.time","total.time","flowers.visits","unique.fl.visited","X","X.1","id.check","uniID","pos.total.time","dec.total.time","prop.fl.visited","prop.un.fl.visited"
"1","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",18,"yellow faced","syrphid","eupeodes/scaeva","Y","pollinate","","0:20:23","0:22:14","0:01:51",1,1,"","","4.10.2017 146 LO1 open pre","LO14.10.2017",2019-03-04 00:01:51,0.0308333333333333,0.0555555555555556,0.0555555555555556
"2","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",18,"yellow faced","syrphid","eupeodes/scaeva","Y","pollinate","","0:21:49","0:26:42","0:04:53",2,1,"","","4.10.2017 146 LO1 open pre","LO14.10.2017",2019-03-04 00:04:53,0.0813888888888889,0.111111111111111,0.0555555555555556
"3","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",18,"yellow faced","syrphid","eupeodes/scaeva","Y","pollinate","","0:27:46","0:28:19","0:00:33",2,2,"","","4.10.2017 146 LO1 open pre","LO14.10.2017",2019-03-04 00:00:33,0.00916666666666667,0.111111111111111,0.111111111111111
"4","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",18,"yellow faced","syrphid","eupeodes/scaeva","Y","pollinate","","0:29:42","0:29:50","0:00:08",1,1,"","","4.10.2017 146 LO1 open pre","LO14.10.2017",2019-03-04 00:00:08,0.00222222222222222,0.0555555555555556,0.0555555555555556
"5","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",18,"yellow faced","syrphid","eupeodes/scaeva","Y","pollinate","","0:30:39","0:31:17","0:00:38",1,1,"","","4.10.2017 146 LO1 open pre","LO14.10.2017",2019-03-04 00:00:38,0.0105555555555556,0.0555555555555556,0.0555555555555556
"6","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",18,"yellow faced","syrphid","eupeodes/scaeva","Y","pollinate","","0:30:53","0:31:30","0:00:37",3,3,"","","4.10.2017 146 LO1 open pre","LO14.10.2017",2019-03-04 00:00:37,0.0102777777777778,0.166666666666667,0.166666666666667
"7","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",18,"yellow faced","syrphid","eupeodes/scaeva","Y","pollinate","","0:31:54","0:32:08","0:00:14",1,1,"","","4.10.2017 146 LO1 open pre","LO14.10.2017",2019-03-04 00:00:14,0.00388888888888889,0.0555555555555556,0.0555555555555556
"8","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",18,"yellow faced","syrphid","eupeodes/scaeva","Y","pollinate","","0:32:10","0:34:38","0:02:28",3,3,"","","4.10.2017 146 LO1 open pre","LO14.10.2017",2019-03-04 00:02:28,0.0411111111111111,0.166666666666667,0.166666666666667
"9","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",18,"yellow faced","syrphid","eupeodes/scaeva","Y","pollinate","disappears out of sight","0:33:09","0:33:17","0:00:08",1,1,"","","4.10.2017 146 LO1 open pre","LO14.10.2017",2019-03-04 00:00:08,0.00222222222222222,0.0555555555555556,0.0555555555555556
"10","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",18,"yellow faced","syrphid","eupeodes/scaeva","Y","pollinate","","0:34:25","0:34:39","0:00:14",1,1,"","","4.10.2017 146 LO1 open pre","LO14.10.2017",2019-03-04 00:00:14,0.00388888888888889,0.0555555555555556,0.0555555555555556
"11","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",18,"yellow faced","syrphid","eupeodes/scaeva","Y","pollinate","","0:34:42","0:37:38","0:02:56",1,1,"","","4.10.2017 146 LO1 open pre","LO14.10.2017",2019-03-04 00:02:56,0.0488888888888889,0.0555555555555556,0.0555555555555556
"12","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",18,"yellow faced","syrphid","eupeodes/scaeva","Y","pollinate","","0:42:33","0:53:06","0:10:33",5,5,"","","4.10.2017 146 LO1 open pre","LO14.10.2017",2019-03-04 00:10:33,0.175833333333333,0.277777777777778,0.277777777777778
"13","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",18,"metallic","bee","halictid","Y","pollinate","","0:47:23","0:51:19","0:03:56",4,4,"","","4.10.2017 146 LO1 open pre","LO14.10.2017",2019-03-04 00:03:56,0.0655555555555556,0.222222222222222,0.222222222222222
"14","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",18,"metallic","bee","halictid","Y","pollinate","","0:52:41","0:53:06","0:00:25",1,1,"","","4.10.2017 146 LO1 open pre","LO14.10.2017",2019-03-04 00:00:25,0.00694444444444444,0.0555555555555556,0.0555555555555556
"15","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",18,"yellow faced","syrphid","eupeodes/scaeva","Y","pollinate","","1:06:53","1:08:00","0:01:07",2,2,"0:00:55","","4.10.2017 146 LO1 open pre","LO14.10.2017",2019-03-04 00:01:07,0.0186111111111111,0.111111111111111,0.111111111111111
"16","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",18,"yellow faced","syrphid","eupeodes/scaeva","Y","pollinate","","1:07:01","1:08:00","0:00:59",1,1,"0:01:03","","4.10.2017 146 LO1 open pre","LO14.10.2017",2019-03-04 00:00:59,0.0163888888888889,0.0555555555555556,0.0555555555555556
"17","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",18,"yellow faced","syrphid","eupeodes/scaeva","Y","pollinate","","1:08:05","1:08:42","0:00:37",4,4,"0:02:07","","4.10.2017 146 LO1 open pre","LO14.10.2017",2019-03-04 00:00:37,0.0102777777777778,0.222222222222222,0.222222222222222
"18","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",18,"yellow faced","syrphid","eupeodes/scaeva","Y","pollinate","","1:12:14","1:20:02","0:07:48",2,2,"0:06:16","","4.10.2017 146 LO1 open pre","LO14.10.2017",2019-03-04 00:07:48,0.13,0.111111111111111,0.111111111111111
"19","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",18,"yellow faced","syrphid","eupeodes/scaeva","Y","pollinate","","1:16:48","1:17:22","0:00:34",2,2,"0:10:50","","4.10.2017 146 LO1 open pre","LO14.10.2017",2019-03-04 00:00:34,0.00944444444444444,0.111111111111111,0.111111111111111
"20","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",18,"yellow faced","syrphid","eupeodes/scaeva","Y","pollinate","","1:17:11","1:18:50","0:01:39",2,2,"0:11:13","","4.10.2017 146 LO1 open pre","LO14.10.2017",2019-03-04 00:01:39,0.0275,0.111111111111111,0.111111111111111
"21","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"yellow faced","syrphid","eupeodes/scaeva","Y","landing/pollinate","very brief, touches edge of first flwoer only, < 1 second per flower","0:05:51","0:05:57","0:00:06",2,2,"","","4.10.2017 193 LO2 open pre","LO24.10.2017",2019-03-04 00:00:06,0.00166666666666667,0.222222222222222,0.222222222222222
"22","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"yellow faced","syrphid","eupeodes/scaeva","Y","","","0:09:19","0:09:33","0:00:14",1,1,"","","4.10.2017 193 LO2 open pre","LO24.10.2017",2019-03-04 00:00:14,0.00388888888888889,0.111111111111111,0.111111111111111
"23","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"yellow faced","syrphid","eupeodes/scaeva","Y","","","0:10:20","0:13:45","0:03:25",2,1,"","","4.10.2017 193 LO2 open pre","LO24.10.2017",2019-03-04 00:03:25,0.0569444444444444,0.222222222222222,0.111111111111111
"24","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"yellow faced","syrphid","eupeodes/scaeva","Y","","","0:15:30","0:15:40","0:00:10",1,1,"","","4.10.2017 193 LO2 open pre","LO24.10.2017",2019-03-04 00:00:10,0.00277777777777778,0.111111111111111,0.111111111111111
"25","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"yellow faced","syrphid","eupeodes/scaeva","Y","don't see it fly away, disappears into flower","","0:18:56","0:19:09","0:00:13",1,1,"","","4.10.2017 193 LO2 open pre","LO24.10.2017",2019-03-04 00:00:13,0.00361111111111111,0.111111111111111,0.111111111111111
