"","Date","mean.Solar","mean.Wind","mean.MaxWind","mean.Temp","PlantID","SecondaryID","Cam","treatment","flowering","TimeOut","flowers.shrub","flowers.pot","het.shrub.blooming.neighbours","het.cactus.blooming.neighbours","understory.richness","het.annual.floral.density","understory.assoc","uniID","total.visits","Length","pos.Length","dec.Length","visits.per.hour","total.flowers","flowers.per.hour"
"1","4.10.2017",0.7625,5.15,9.775,18.35,"146","","LO1","open","pre","13:06",0,"18",0,0,5,0,"NO","LO14.10.2017",20,"1:22:51",2019-09-24 01:22:51,1.38083333333333,14.4840072420036,40,28.9680144840072
"2","4.10.2017",0.7625,5.15,9.775,18.35,"146","","LS1","shrub","pre","13:06",0,"11",0,0,3,1,"NO","LS14.10.2017",7,"1:37:04",2019-09-24 01:37:04,1.61777777777778,4.32692307692308,10,6.18131868131868
"3","4.10.2017",0.7625,5.15,9.775,18.35,"193","","LO2","open","pre","13:08",0,"8",0,0,3,1,"NO","LO24.10.2017",24,"1:30:48",2019-09-24 01:30:48,1.51333333333333,15.8590308370044,33,21.8061674008811
"4","4.10.2017",0.7625,5.15,9.775,18.35,"193","","LS2","shrub","pre","13:08",0,"12",0,0,4,0,"NO","LS24.10.2017",8,"1:40:22",2019-09-24 01:40:22,1.67277777777778,4.78246429757556,9,5.3802723347725
"5","4.10.2017",0.7625,5.15,9.775,18.35,"187","","LO3","open","pre","13:13",0,"12",0,0,4,19,"NO","LO34.10.2017",10,"0:52:39",2019-09-24 00:52:39,0.8775,11.3960113960114,14,15.954415954416
"6","4.10.2017",0.7625,5.15,9.775,18.35,"187","","LS3","shrub","pre","13:13",0,"15",0,0,4,2,"NO","LS34.10.2017",5,"0:43:00",2019-09-24 00:43:00,0.716666666666667,6.97674418604651,5,6.97674418604651
"7","4.10.2017",0.7625,5.15,9.775,18.35,"288","","LO4","open","pre","13:17",0,"7",1,0,3,0,"NO","LO44.10.2017",8,"0:39:39",2019-09-24 00:39:39,0.660833333333333,12.1059268600252,8,12.1059268600252
"8","4.10.2017",0.7625,5.15,9.775,18.35,"288","","LS4","shrub","pre","13:17",0,"8",1,0,3,0,"NO","LS44.10.2017",4,"0:45:38",2019-09-24 00:45:38,0.760555555555556,5.25931336742148,4,5.25931336742148
"9","4.10.2017",0.7625,5.15,9.775,18.35,"266","","LS5","shrub","pre","13:27",0,"5",0,0,2,0,"NO","LS54.10.2017",3,"0:47:32",2019-09-24 00:47:32,0.792222222222222,3.78681626928471,4,5.04908835904628
"10","4.10.2017",0.7625,5.15,9.775,18.35,"273","","LO6","open","pre","13:22",0,"10",2,0,2,0,"NO","LO64.10.2017",11,"0:58:29",2019-09-24 00:58:29,0.974722222222222,11.2852664576803,16,16.4149330293531
"11","4.10.2017",0.7625,5.15,9.775,18.35,"273","","LS6","shrub","pre","13:22",0,"10",2,0,3,3,"NO","LS64.10.2017",5,"1:17:59",2019-09-24 01:17:59,1.29972222222222,3.8469758495405,5,3.8469758495405
"12","4.11.2017",0.61,6.325,11.5375,18.575,"265","","LO1","open","pre","13:26",0,"11",4,0,3,0,"NO","LO14.11.2017",4,"1:34:53",2019-09-24 01:34:53,1.58138888888889,2.52942209731249,6,3.79413314596873
"13","4.11.2017",0.61,6.325,11.5375,18.575,"289","","LO3","open","pre","13:16",0,"7",0,0,2,1,"NO","LO34.11.2017",0,"0:56:10",2019-09-24 00:56:10,0.936111111111111,0,0,0
"14","4.11.2017",0.61,6.325,11.5375,18.575,"191","","LO4","open","pre","13:12",0,"11",0,0,2,0,"NO","LO44.11.2017",2,"0:43:38",2019-09-24 00:43:38,0.727222222222222,2.7501909854851,3,4.12528647822765
"15","4.11.2017",0.61,6.325,11.5375,18.575,"196","","LO5","open","pre","13:05",2,"8",0,0,3,12,"NO","LO54.11.2017",6,"1:15:43",2019-09-24 01:15:43,1.26194444444444,4.75456746643187,6,4.75456746643187
"16","4.11.2017",0.61,6.325,11.5375,18.575,"194","","LO6","open","pre","13:00",0,"9",0,0,2,0,"NO","LO64.11.2017",11,"1:16:46",2019-09-24 01:16:46,1.27944444444444,8.59748154580981,14,10.9422492401216
