"","highest.rtu","Quantity"
"1","Acalypterate",1
"2","Adeloidea",1
"3","Ammophila",4
"4","Ancylandrenalarreae",1
"5","Andrena",2
"6","Anthidium",4
"7","Anthocoridae",3
"8","Anthomyiidae",4
"9","Aphididae",10
"10","Aphoebantus",2
"11","Apismellifera",4
"12","Araneae",14
"13","Ashmeadiella",4
"14","Asilidae",76
"15","Atoposmia",1
"16","Berytidae",4
"17","Bombyliidae",23
"18","Braconidae",1
"19","Buprestidae",67
"20","Calliphoridae",1
"21","Canacidae",1
"22","Cecidomyiidae",55
"23","Cephranoidea",1
"24","Ceraphronidae",6
"25","Cercopidae",6
"26","Chalcididae",3
"27","Chamaemyiidae",1
"28","Chloropidae",21
"29","Chrysididae",12
"30","Chrysomelidae",7
"31","Chrysopidae",1
"32","Chyromyidae",1
"33","Cicadellidae",351
"34","Coccinellidae",6
"35","Colletes",2
"36","Conanhalictus",1
"37","Crabronidae",39
"38","Curculionidae",15
"39","Cysteodemus",2
"40","damaged",1
"41","Delphacidae",2
"42","destroyed",12
"43","Diadasia",12
"44","Dialictus",71
"45","Drosophilidae",1
"46","Dryinidae",1
"47","Dryudella",1
"48","Encrytidae",23
"49","Ephydridae",12
"50","Eucera",3
"51","Eucerini",1
"52","Eucharitidae",2
"53","Eulophidae",16
"54","Eumeninae",1
"55","Eupelmidae",13
"56","Eupeodesvolucris",19
"57","Eupomphaelegans",3
"58","Eurytomidae",4
"59","Figitidae",1
"60","Formicidae",71
"61","Geocoridae",14
"62","Halictus",2
"63","Harpactorinae",10
"64","Heleomyzidae",72
"65","Hesperapis",2
"66","Hoplitis",1
"67","Ichneumonidae",1
"68","Lasioglossum",5
"69","Lepidoptera",1
"70","Lygaeoidea",21
"71","Lytta",1
"72","Lyttaauriculata",3
"73","Megachile",1
"74","Megandrena.encelia",14
"75","Megaspilidae",1
"76","Mellisodes",2
"77","Melyridae",1243
"78","Membracidae",1
"79","Microcoryphia",1
"80","Milichiidae",11
"81","Miridae",96
"82","Miscophus",25
"83","Muscidae",3
"84","Mutillidae",11
"85","Mymaridae",1
"86","Myrmosidae",1
"87","Mythicomyiidae",258
"88","Nomadopsis",1
"89","Nymph",176
"90","Nymphalidae",2
"91","Omomyia",3
"92","Orthoptera",19
"93","Osmia",9
"94","Papilionidae",1
"95","Pemphredoninae",27
"96","Pentamoidae",6
"97","Perdita",1
"98","Phoridae",17
"99","Pipunculidae",8
"100","Platygastridae",8
"101","Pompilidae",13
"102","Pronotacanthaannulata",17
"103","Psylloidea",2
"104","Pteromalidae",25
"105","Rhopalidae",8
"106","Sarcophagidae",22
"107","Sciaridae",6
"108","Signiphoridae",3
"109","Solifugae",3
"110","Sphecidae",1
"111","Tachinidae",17
"112","Tephritidae",7
"113","Tersilochinae",1
"114","Therevidae",4
"115","Thysanoptera",137
"116","Tingidae",2
"117","Torymidae",10
"118","Toxomerusmarginatus",1
"119","Trichogrammatidae",4
"120","Trichoptera",1
"121","Usiinae",8
"122","Zeroes",0
