"","date","mean.Solar","mean.Wind","mean.MaxWind","mean.Temp","plant.id","species","treatment","blooming","percent.cover","rich","perennial","X","uniID","abun","H","Simpson","Species","Even"
"1","4.10.2017",0.7625,5.15,9.775,18.35,"184","larrea","open","pre",10,4,"","","4.10.2017 184 open",6,4.90783512024469,0.989863751893953,1,Inf
"2","4.10.2017",0.7625,5.15,9.775,18.35,"184","larrea","shrub","pre",70,3,"","","4.10.2017 184 shrub",2,4.90783512024469,0.989863751893953,1,Inf
"3","4.10.2017",0.7625,5.15,9.775,18.35,"189","larrea","open","pre",2,6,"","","4.10.2017 189 open",2,4.90783512024469,0.989863751893953,1,Inf
"4","4.10.2017",0.7625,5.15,9.775,18.35,"189","larrea","shrub","pre",25,6,"","","4.10.2017 189 shrub",2,4.90783512024469,0.989863751893953,1,Inf
"5","4.10.2017",0.7625,5.15,9.775,18.35,"192","larrea","open","pre",15,3,"","","4.10.2017 192 open",1,4.90783512024469,0.989863751893953,1,Inf
"6","4.10.2017",0.7625,5.15,9.775,18.35,"192","larrea","shrub","pre",40,1,"","","4.10.2017 192 shrub",0,4.90783512024469,0.989863751893953,0,0
"7","4.10.2017",0.7625,5.15,9.775,18.35,"194","larrea","open","pre",3,2,"","","4.10.2017 194 open",7,4.90783512024469,0.989863751893953,1,Inf
"8","4.10.2017",0.7625,5.15,9.775,18.35,"194","larrea","shrub","pre",40,3,"","","4.10.2017 194 shrub",0,4.90783512024469,0.989863751893953,0,0
"9","4.10.2017",0.7625,5.15,9.775,18.35,"275","larrea","open","pre",2,5,"","","4.10.2017 275 open",0,4.90783512024469,0.989863751893953,0,0
"10","4.10.2017",0.7625,5.15,9.775,18.35,"275","larrea","shrub","pre",20,4,"","","4.10.2017 275 shrub",2,4.90783512024469,0.989863751893953,1,Inf
"11","4.10.2017",0.7625,5.15,9.775,18.35,"296","larrea","open","pre",3,3,"","","4.10.2017 296 open",4,4.90783512024469,0.989863751893953,1,Inf
"12","4.10.2017",0.7625,5.15,9.775,18.35,"296","larrea","shrub","pre",15,3,"","","4.10.2017 296 shrub",0,4.90783512024469,0.989863751893953,0,0
"13","4.11.2017",0.61,6.325,11.5375,18.575,"187","larrea","open","pre",2,5,"","","4.11.2017 187 open",3,4.90783512024469,0.989863751893953,1,Inf
"14","4.11.2017",0.61,6.325,11.5375,18.575,"187","larrea","shrub","pre",20,5,"","","4.11.2017 187 shrub",0,4.90783512024469,0.989863751893953,0,0
"15","4.11.2017",0.61,6.325,11.5375,18.575,"193","larrea","open","pre",1,4,"","","4.11.2017 193 open",4,4.90783512024469,0.989863751893953,1,Inf
"16","4.11.2017",0.61,6.325,11.5375,18.575,"193","larrea","shrub","pre",35,4,"","","4.11.2017 193 shrub",0,4.90783512024469,0.989863751893953,0,0
"17","4.11.2017",0.61,6.325,11.5375,18.575,"197","larrea","open","pre",5,4,"","","4.11.2017 197 open",0,4.90783512024469,0.989863751893953,0,0
"18","4.11.2017",0.61,6.325,11.5375,18.575,"197","larrea","shrub","pre",40,3,"","","4.11.2017 197 shrub",0,4.90783512024469,0.989863751893953,0,0
"19","4.11.2017",0.61,6.325,11.5375,18.575,"266","larrea","open","pre",1,4,"","","4.11.2017 266 open",16,4.90783512024469,0.989863751893953,1,Inf
"20","4.11.2017",0.61,6.325,11.5375,18.575,"266","larrea","shrub","pre",15,3,"","","4.11.2017 266 shrub",0,4.90783512024469,0.989863751893953,0,0
"21","4.11.2017",0.61,6.325,11.5375,18.575,"273","larrea","open","pre",5,3,"","","4.11.2017 273 open",5,4.90783512024469,0.989863751893953,1,Inf
"22","4.11.2017",0.61,6.325,11.5375,18.575,"273","larrea","shrub","pre",20,3,"","","4.11.2017 273 shrub",4,4.90783512024469,0.989863751893953,1,Inf
"23","4.11.2017",0.61,6.325,11.5375,18.575,"288","larrea","open","pre",1,5,"","","4.11.2017 288 open",3,4.90783512024469,0.989863751893953,1,Inf
"24","4.11.2017",0.61,6.325,11.5375,18.575,"288","larrea","shrub","pre",25,5,"","","4.11.2017 288 shrub",0,4.90783512024469,0.989863751893953,0,0
"25","4.12.2017",0.75875,6.6625,11.3625,18.6125,"180","larrea","open","pre",5,6,"","","4.12.2017 180 open",6,4.90783512024469,0.989863751893953,1,Inf
"26","4.12.2017",0.75875,6.6625,11.3625,18.6125,"180","larrea","shrub","pre",30,6,"","","4.12.2017 180 shrub",4,4.90783512024469,0.989863751893953,1,Inf
"27","4.12.2017",0.75875,6.6625,11.3625,18.6125,"191","larrea","open","pre",2,4,"","","4.12.2017 191 open",11,4.90783512024469,0.989863751893953,1,Inf
"28","4.12.2017",0.75875,6.6625,11.3625,18.6125,"191","larrea","shrub","pre",40,4,"","","4.12.2017 191 shrub",1,4.90783512024469,0.989863751893953,1,Inf
"29","4.12.2017",0.75875,6.6625,11.3625,18.6125,"196","larrea","open","pre",2,4,"","","4.12.2017 196 open",5,4.90783512024469,0.989863751893953,1,Inf
"30","4.12.2017",0.75875,6.6625,11.3625,18.6125,"196","larrea","shrub","pre",30,5,"","","4.12.2017 196 shrub",0,4.90783512024469,0.989863751893953,0,0
"31","4.12.2017",0.75875,6.6625,11.3625,18.6125,"198","larrea","open","pre",2,3,"","","4.12.2017 198 open",5,4.90783512024469,0.989863751893953,1,Inf
"32","4.12.2017",0.75875,6.6625,11.3625,18.6125,"198","larrea","shrub","pre",20,6,"1","","4.12.2017 198 shrub",0,4.90783512024469,0.989863751893953,0,0
"33","4.12.2017",0.75875,6.6625,11.3625,18.6125,"265","larrea","open","pre",2,5,"","","4.12.2017 265 open",6,4.90783512024469,0.989863751893953,1,Inf
"34","4.12.2017",0.75875,6.6625,11.3625,18.6125,"265","larrea","shrub","pre",10,5,"","","4.12.2017 265 shrub",4,4.90783512024469,0.989863751893953,1,Inf
"35","4.12.2017",0.75875,6.6625,11.3625,18.6125,"289","larrea","open","pre",1,4,"","","4.12.2017 289 open",6,4.90783512024469,0.989863751893953,1,Inf
"36","4.12.2017",0.75875,6.6625,11.3625,18.6125,"289","larrea","shrub","pre",25,4,"","","4.12.2017 289 shrub",1,4.90783512024469,0.989863751893953,1,Inf
"37","4.13.2017",0.76,6.1125,10.675,18.5625,"190","larrea","open","pre",5,5,"","","4.13.2017 190 open",7,4.90783512024469,0.989863751893953,1,Inf
"38","4.13.2017",0.76,6.1125,10.675,18.5625,"190","larrea","shrub","pre",40,5,"","","4.13.2017 190 shrub",1,4.90783512024469,0.989863751893953,1,Inf
"39","4.13.2017",0.76,6.1125,10.675,18.5625,"267","larrea","open","pre",2,4,"","","4.13.2017 267 open",16,4.90783512024469,0.989863751893953,1,Inf
"40","4.13.2017",0.76,6.1125,10.675,18.5625,"267","larrea","shrub","pre",40,3,"","","4.13.2017 267 shrub",7,4.90783512024469,0.989863751893953,1,Inf
"41","4.13.2017",0.76,6.1125,10.675,18.5625,"272","larrea","open","pre",5,6,"","","4.13.2017 272 open",7,4.90783512024469,0.989863751893953,1,Inf
"42","4.13.2017",0.76,6.1125,10.675,18.5625,"272","larrea","shrub","pre",25,6,"","","4.13.2017 272 shrub",2,4.90783512024469,0.989863751893953,1,Inf
"43","4.13.2017",0.76,6.1125,10.675,18.5625,"284","larrea","open","pre",1,3,"","","4.13.2017 284 open",6,4.90783512024469,0.989863751893953,1,Inf
"44","4.13.2017",0.76,6.1125,10.675,18.5625,"284","larrea","shrub","pre",15,3,"","","4.13.2017 284 shrub",0,4.90783512024469,0.989863751893953,0,0
"45","4.13.2017",0.76,6.1125,10.675,18.5625,"293","larrea","open","pre",10,6,"","","4.13.2017 293 open",3,4.90783512024469,0.989863751893953,1,Inf
"46","4.13.2017",0.76,6.1125,10.675,18.5625,"293","larrea","shrub","pre",40,4,"","","4.13.2017 293 shrub",2,4.90783512024469,0.989863751893953,1,Inf
"47","4.13.2017",0.76,6.1125,10.675,18.5625,"294","larrea","open","pre",2,6,"","","4.13.2017 294 open",3,4.90783512024469,0.989863751893953,1,Inf
