Shrub,Rep,microsite,x,y,z,s.flowers,d.flowers,dN1,dN2,dN3,d.S,
1,S1,shrub,250,256,205,4,4,31,51,72,,
1,O1,open,,,,,7,30,35,145,332,
2,S2,shrub,293,242,180,3,4,44,45,57,,
2,O2,open,,,,,19,15,34,35,372,
3,S3,shrub,387,228,147,4,3,47,44,167,,
3,O3,open,,,,,3,30,95,108,517,
4,S4,shrub,309,201,170,4,11,135,166,235,,
4,O4,open,,,,,5,244,285,342,276,
5,S5,shrub,260,134,147,4,3,166,251,196,,
5,O5,open,,,,,4,76,140,144,379,
6,S6,shrub,231,175,160,4,4,10,32,64,,
6,O6,open,,,,,34,120,161,177,367,
7,S7,shrub,229,243,129,3,3,73,120,156,,
7,O7,open,,,,,18,156,178,73,196,
8,S8,shrub,250,181,90,4,3,36,75,92,,small ring formation
8,O8,open,,,,,6,44,56,125,571,
9,S9,shrub,278,196,115,3,12,33,102,159,,
9,O9,open,,,,,11,103,110,175,275,
10,S10,shrub,254,216,182,4,3,114,125,190,,
10,O10,open,,,,,4,24,165,191,222,
11,S11,shrub,168,72,82,4,5,117,245,198,,
11,O11,open,,,,,5,41,43,105,285,
13,S13,shrub,302,276,160,4,3,50,245,235,,
13,O13,open,,,,,3,141,231,224,513,
14,S14,shrub,390,371,156,4,4,105,115,102,,
14,O14,open,,,,,4,59,83,142,482,
