Day,Rep,Length,Recorder,,Exclude,
4.10.2017,LO1,1:22:51,Jenna,,,
4.10.2017,LS1,1:37:04,Jenna,,,
4.10.2017,LO2,1:30:48,Jenna,,,
4.10.2017,LS2,1:40:22,Jenna,,,
4.10.2017,LO3,0:52:39,Jenna,,,
4.10.2017,LS3,0:43:00,Jenna,,,
4.10.2017,LO4,0:39:39,Jenna,,,
4.10.2017,LS4,0:45:38,Jenna,,,
4.10.2017,LO5,0:00:00,Jenna,,Y,
4.10.2017,LS5,0:47:32,Jenna,,,
4.10.2017,LO6,0:58:29,Jenna,,,
4.10.2017,LS6,1:17:59,Jenna,,,
4.11.2017,LO1,1:34:53,Brian,,,
4.11.2017,LO2,NA,Brian,"Very wilty, viewed up to 34:29",Y,
4.11.2017,LO3,0:56:10,Brian,Rather windy,,
4.11.2017,LO4,0:43:38,Brian,,,
4.11.2017,LO5,1:15:43,Brian,,,
4.11.2017,LO6,1:16:46,Brian,,,
4.11.2017,LS1,1:38:30,Brian,,,
4.11.2017,LS2,1:42:01,Brian,,,
4.11.2017,LS3,0:31:34,Brian,Rather windy,,
4.11.2017,LS4,0:57:04,Brian,,,
4.11.2017,LS5,0:01:09,Brian,very short video (battery issues?),Y,
4.11.2017,LS6,1:08:22,Brian,,,
4.12.2017,LO1,1:32:40,Jenna,,,
4.12.2017,LO2,1:28:50,Jenna,,,
4.12.2017,LO3,1:12:10,Jenna,,,
4.12.2017,LO4,1:05:33,Jenna,,,
4.12.2017,LO5,1:17:13,Jenna,,,
4.12.2017,LO6,1:18:33,Jenna,Lizard ate 2 flowers in this rep,,
4.12.2017,LS1,1:28:14,Jenna,,,
4.12.2017,LS2,1:40:05,Jenna,,,
4.12.2017,LS3,1:07:06,Jenna,,,
4.12.2017,LS4,0:56:18,Jenna,,,
4.12.2017,LS5,1:05:49,Jenna,,,
4.12.2017,LS6,1:07:30,Jenna,,,
4.13.2017,LO1,1:32:24,Jenna,,,
