14-Apr,12:00 AM,0,,12.5,312,18,,8.2,,20.2,,51,,-1.4,3.7,,864,,0
18-Apr,12:00 AM,0,,12.9,316,18.9,,7.7,,19.9,,49,,-2.5,3.1,,864,,0
21-Apr,12:00 AM,0,,14.1,309,21,,7.7,,19.5,,42,,-4.3,2.5,,864,,0
25-Apr,12:00 AM,0,,12.7,309,20,,7.1,,19.1,,48,,-3.2,2.5,,864,,0
2-May,12:00 AM,0,,9.9,303,15.4,,6.7,,18.8,,50,,-3.1,2.3,,864,,0
14-Apr,1:00 AM,0,,8.5,302,14.6,,6.6,,18.4,,50,,-3.1,2.2,,865,,0
18-Apr,1:00 AM,0,,7.3,290,12.5,,9.4,,18,,35,,-5.4,3,,865,,0
21-Apr,1:00 AM,0,,8.5,307,14.3,,10.5,,17.7,,33,,-5.1,3.6,,866,,0
25-Apr,1:00 AM,0,,7.6,310,13.5,,11.5,,17.5,,33,,-4.3,4.3,,866,,0
2-May,1:00 AM,0,,5.6,309,11,,13,,17.2,,30,,-4.2,5.1,,867,,0
14-Apr,2:00 AM,0,,3.8,311,7.3,,14.6,,17.2,,28,,-3.6,6,,867,,0
18-Apr,2:00 AM,0,,2.4,333,5.5,,16.6,,17.2,,26,,-3.1,7,,867,,0
21-Apr,2:00 AM,0,,2.8,95,5.3,,17.3,,17.5,,26,,-2.5,7.5,,867,,0
25-Apr,2:00 AM,0,,2.9,22,5.9,,17.7,,17.8,,26,,-1.9,7.9,,867,,0
2-May,2:00 AM,0,,4.6,322,9.4,,17.3,,18.3,,25,,-2.7,7.5,,867,,0
14-Apr,3:00 AM,0,,4.8,312,9.2,,17,,18.9,,24,,-3.7,7.1,,867,,0
18-Apr,3:00 AM,0,,5.1,312,10,,16.7,,19.5,,23,,-4.7,6.6,,867,,0
21-Apr,3:00 AM,0,,4.7,312,8.9,,15.4,,20.1,,24,,-5.3,5.9,,866,,0
25-Apr,3:00 AM,0,,6.2,312,10.3,,14.4,,20.5,,23,,-6.3,5.2,,866,,0
2-May,3:00 AM,0,,7.3,308,12.5,,14.1,,20.7,,21,,-7.6,4.7,,867,,0
14-Apr,4:00 AM,0,,6.9,311,10.8,,14.2,,20.8,,20,,-8.4,4.6,,867,,0
18-Apr,4:00 AM,0,,6.3,310,10.3,,14.2,,20.6,,21,,-7.6,4.7,,867,,0
21-Apr,4:00 AM,0,,6,310,10.5,,14,,20.4,,23,,-7.1,4.8,,867,,0
25-Apr,4:00 AM,0,,5.6,306,9.4,,13.6,,20.2,,22,,-7.4,4.5,,868,,0
2-May,4:00 AM,0,,7.5,305,11.4,,15.2,,20.7,,45,,3.3,8.7,,869,,0
14-Apr,5:00 AM,0,,10.8,301,18.8,,15.5,,20.5,,46,,3.9,9.1,,869,,0
18-Apr,5:00 AM,0,,8.6,302,15.8,,15.1,,20.3,,50,,4.8,9.3,,869,,0
21-Apr,5:00 AM,0,,9.2,302,14.6,,14.3,,20,,56,,5.6,9.4,,869,,0
25-Apr,5:00 AM,0,,9.6,301,17.2,,14.5,,19.8,,56,,5.8,9.6,,869,,0
2-May,5:00 AM,0,,9.8,303,16.1,,14.6,,19.6,,56,,5.9,9.6,,869,,0
14-Apr,6:00 AM,0.03,,8.4,302,15.2,,15.7,,19.4,,53,,6.1,10.2,,870,,0
18-Apr,6:00 AM,0.03,,7.8,293,16,,17.7,,19.2,,43,,4.9,10.4,,870,,0
21-Apr,6:00 AM,0.03,,4.8,276,11,,19.4,,19,,33,,2.9,10.3,,871,,0
