"","highest.rtu","n"
"1","Acalypterate",1
"2","Adeloidea",1
"3","Ammophila",4
"4","Ancylandrenalarreae",1
"5","Andrena",2
"6","Anthidium",4
"7","Anthocoridae",3
"8","Anthomyiidae",4
"9","Aphididae",10
"10","Aphoebantus",2
"11","Apismellifera",4
"12","Araneae",13
"13","Ashmeadiella",4
"14","Asilidae",76
"15","Atoposmia",1
"16","Berytidae",3
"17","Bombyliidae",23
"18","Braconidae",1
"19","Buprestidae",56
"20","Calliphoridae",1
"21","Canacidae",1
"22","Cecidomyiidae",49
"23","Cephranoidea",1
"24","Ceraphronidae",6
"25","Cercopidae",6
"26","Chalcididae",3
"27","Chamaemyiidae",1
"28","Chloropidae",19
"29","Chrysididae",12
"30","Chrysomelidae",7
"31","Chrysopidae",1
"32","Chyromyidae",1
"33","Cicadellidae",143
"34","Coccinellidae",6
"35","Colletes",2
"36","Crabronidae",38
"37","Curculionidae",15
"38","Cysteodemus",2
"39","damaged",1
"40","Delphacidae",2
"41","destroyed",12
"42","Diadasia",12
"43","Drosophilidae",1
"44","Dryinidae",1
"45","Dryudella",1
"46","Encrytidae",21
"47","Ephydridae",10
"48","Eucera",2
"49","Eucharitidae",2
"50","Eulophidae",15
"51","Eumeninae",1
"52","Eupelmidae",11
"53","Eupeodesvolucris",19
"54","Eupomphaelegans",3
"55","Eurytomidae",4
"56","Figitidae",1
"57","Formicidae",39
"58","Geocoridae",13
"59","Halictus",7
"60","Harpactorinae",10
"61","Heleomyzidae",46
"62","Hemiptera",1
"63","Hesperapis",2
"64","Hoplitis",1
"65","Ichneumonidae",1
"66","Lasioglossum",72
"67","Lepidoptera",1
"68","Lygaeoidea",18
"69","Lytta",1
"70","Lyttaauriculata",3
"71","Megachile",1
"72","Megandrena.encelia",14
"73","Megaspilidae",1
"74","Mellisodes",4
"75","Melyridae",196
"76","Membracidae",1
"77","Microcoryphia",1
"78","Milichiidae",8
"79","Miridae",64
"80","Miscophus",25
"81","Muscidae",3
"82","Mutillidae",11
"83","Mymaridae",1
"84","Myrmosidae",1
"85","Mythicomyiidae",103
"86","Nomadopsis",1
"87","Nymph",102
"88","Nymphalidae",2
"89","Omomyia",3
"90","Orthoptera",19
"91","Osmia",9
"92","Papilionidae",1
"93","Pemphredoninae",23
"94","Pentamoidae",6
"95","Perdita",1
"96","Perilampidae",1
"97","Phoridae",15
"98","Pipunculidae",7
"99","Platygastridae",6
"100","Pompilidae",13
"101","Pronotacanthaannulata",16
"102","Psylloidea",2
"103","Pteromalidae",22
"104","Rhopalidae",7
"105","Sarcophagidae",22
"106","Sciaridae",6
"107","Signiphoridae",3
"108","Solifugae",3
"109","Sphecidae",1
"110","Tachinidae",17
"111","Tephritidae",7
"112","Tersilochinae",1
"113","Therevidae",4
"114","Thysanoptera",72
"115","Tingidae",2
"116","Torymidae",9
"117","Toxomerusmarginatus",1
"118","Trichogrammatidae",4
"119","Trichoptera",1
"120","Usiinae",8
"121","Zeroes",2
