"","Recorder","Rep","plant.id","microsite","flowering","magnet.species","phyto.species","video.date","video.length","flower.fov","visitor.species","visitor.descript","visitor.rtu","visitor.behaviour","other.description","start.time","end.time","total.time","flowers.visits","unique.fl.visited","X","X.1","X.2","X.3","X.4","X.5","uniID","pos.total.time","dec.total.time","prop.fl.visited","prop.un.fl.visited"
"1","Brian","LO1","265","open","pre","Larrea","malacothrix","4.11.2017","1:34:53",NA,"","","?","same1","","0:04:19","0:04:28","0:00:09",1,1,NA,NA,NA,NA,NA,NA,"LO14.11.2017",2018-03-12 00:00:09,0.0025,NA,NA
"2","Brian","LO1","265","open","pre","Larrea","malacothrix","4.11.2017","1:34:53",NA,"","","beetle?","same1","possible larva","0:06:28","0:06:33","0:00:05",1,1,NA,NA,NA,NA,NA,NA,"LO14.11.2017",2018-03-12 00:00:05,0.00138888888888889,NA,NA
"3","Brian","LO1","265","open","pre","Larrea","malacothrix","4.11.2017","1:34:53",NA,"","","beetle?","same1","","0:08:03","0:08:14","0:00:11",1,1,NA,NA,NA,NA,NA,NA,"LO14.11.2017",2018-03-12 00:00:11,0.00305555555555556,NA,NA
"4","Brian","LO1","265","open","pre","Larrea","malacothrix","4.11.2017","1:34:53",NA,"","","beetle?","same1","","0:09:03","0:09:17","0:00:14",1,1,NA,NA,NA,NA,NA,NA,"LO14.11.2017",2018-03-12 00:00:14,0.00388888888888889,NA,NA
"5","Brian","LO1","265","open","pre","Larrea","malacothrix","4.11.2017","1:34:53",NA,"","","syrphid","","","0:18:50","0:18:59","0:00:09",2,2,NA,NA,NA,NA,NA,NA,"LO14.11.2017",2018-03-12 00:00:09,0.0025,NA,NA
"6","Brian","LO1","265","open","pre","Larrea","malacothrix","4.11.2017","1:34:53",NA,"","","lady beetle","","","0:21:40","0:22:45","0:01:05",2,2,NA,NA,NA,NA,NA,NA,"LO14.11.2017",2018-03-12 00:01:05,0.0180555555555556,NA,NA
"7","Brian","LO1","265","open","pre","Larrea","malacothrix","4.11.2017","1:34:53",NA,"","","syrphid","","","0:34:08","0:34:09","0:00:01",1,1,NA,NA,NA,NA,NA,NA,"LO14.11.2017",2018-03-12 00:00:01,0.000277777777777778,NA,NA
"8","Brian","LO1","265","open","pre","Larrea","malacothrix","4.11.2017","1:34:53",NA,"","","syrphid","","","0:52:06","0:53:04","0:00:58",1,1,NA,NA,NA,NA,NA,NA,"LO14.11.2017",2018-03-12 00:00:58,0.0161111111111111,NA,NA
"9","Brian","LO4","191","open","pre","Larrea","malacothrix","4.11.2017","0:43:38",NA,"","","fly? Small","","","0:12:46","0:12:57","0:00:11",2,2,NA,NA,NA,NA,NA,NA,"LO44.11.2017",2018-03-12 00:00:11,0.00305555555555556,NA,NA
"10","Brian","LO4","191","open","pre","Larrea","malacothrix","4.11.2017","0:43:38",NA,"","","fly?","disappear in flower","","0:18:22","0:18:25","0:00:03",1,1,NA,NA,NA,NA,NA,NA,"LO44.11.2017",2018-03-12 00:00:03,0.000833333333333333,NA,NA
"11","Brian","LO5","196","open","pre","Larrea","malacothrix","4.11.2017","1:15:43",NA,"","","fly?","","","0:01:46","0:02:18","0:00:32",1,1,NA,NA,NA,NA,NA,NA,"LO54.11.2017",2018-03-12 00:00:32,0.00888888888888889,NA,NA
"12","Brian","LO5","196","open","pre","Larrea","malacothrix","4.11.2017","1:15:43",NA,"","","fly?","","","0:09:12","0:09:23","0:00:11",1,1,NA,NA,NA,NA,NA,NA,"LO54.11.2017",2018-03-12 00:00:11,0.00305555555555556,NA,NA
"13","Brian","LO5","196","open","pre","Larrea","malacothrix","4.11.2017","1:15:43",NA,"","","fly?","","","0:37:30","0:37:33","0:00:03",1,1,NA,NA,NA,NA,NA,NA,"LO54.11.2017",2018-03-12 00:00:03,0.000833333333333333,NA,NA
"14","Brian","LO5","196","open","pre","Larrea","malacothrix","4.11.2017","1:15:43",NA,"","","fly?","","","0:46:35","0:47:09","0:00:34",1,1,NA,NA,NA,NA,NA,NA,"LO54.11.2017",2018-03-12 00:00:34,0.00944444444444444,NA,NA
"15","Brian","LO5","196","open","pre","Larrea","malacothrix","4.11.2017","1:15:43",NA,"","","fly?","","","0:48:32","0:49:09","0:00:37",1,1,NA,NA,NA,NA,NA,NA,"LO54.11.2017",2018-03-12 00:00:37,0.0102777777777778,NA,NA
"16","Brian","LO5","196","open","pre","Larrea","malacothrix","4.11.2017","1:15:43",NA,"","","fly?","","","1:11:02","1:11:05","0:00:03",1,1,NA,NA,NA,NA,NA,NA,"LO54.11.2017",2018-03-12 00:00:03,0.000833333333333333,NA,NA
"17","Brian","LO6","194","open","pre","Larrea","malacothrix","4.11.2017","1:16:46",NA,"","","?","","","0:07:15","0:08:14","0:00:59",1,1,NA,NA,NA,NA,NA,NA,"LO64.11.2017",2018-03-12 00:00:59,0.0163888888888889,NA,NA
"18","Brian","LO6","194","open","pre","Larrea","malacothrix","4.11.2017","1:16:46",NA,"","","syrphid?*","*same flower as beetle","","0:09:23","0:10:32","0:01:09",1,1,NA,NA,NA,NA,NA,NA,"LO64.11.2017",2018-03-12 00:01:09,0.0191666666666667,NA,NA
"19","Brian","LO6","194","open","pre","Larrea","malacothrix","4.11.2017","1:16:46",NA,"","","syrphid?","","","0:10:26","0:13:07","0:02:41",1,1,NA,NA,NA,NA,NA,NA,"LO64.11.2017",2018-03-12 00:02:41,0.0447222222222222,NA,NA
"20","Brian","LO6","194","open","pre","Larrea","malacothrix","4.11.2017","1:16:46",NA,"","","lady beetle*","*same flower as syrphid","","0:10:32","0:10:47","0:00:15",1,1,NA,NA,NA,NA,NA,NA,"LO64.11.2017",2018-03-12 00:00:15,0.00416666666666667,NA,NA
"21","Brian","LO6","194","open","pre","Larrea","malacothrix","4.11.2017","1:16:46",NA,"","","fly?","","","0:13:01","0:13:21","0:00:20",1,1,NA,NA,NA,NA,NA,NA,"LO64.11.2017",2018-03-12 00:00:20,0.00555555555555556,NA,NA
"22","Brian","LO6","194","open","pre","Larrea","malacothrix","4.11.2017","1:16:46",NA,"","","syrphid?","","","0:14:01","0:14:30","0:00:29",2,1,NA,NA,NA,NA,NA,NA,"LO64.11.2017",2018-03-12 00:00:29,0.00805555555555556,NA,NA
"23","Brian","LO6","194","open","pre","Larrea","malacothrix","4.11.2017","1:16:46",NA,"","","syrphid?","","","0:14:51","0:19:51","0:05:00",1,1,NA,NA,NA,NA,NA,NA,"LO64.11.2017",2018-03-12 00:05:00,0.0833333333333333,NA,NA
"24","Brian","LO6","194","open","pre","Larrea","malacothrix","4.11.2017","1:16:46",NA,"","","fly?","","","0:20:03","0:20:51","0:00:48",1,1,NA,NA,NA,NA,NA,NA,"LO64.11.2017",2018-03-12 00:00:48,0.0133333333333333,NA,NA
"25","Brian","LO6","194","open","pre","Larrea","malacothrix","4.11.2017","1:16:46",NA,"","","fly?","","","0:31:35","0:32:31","0:00:56",2,2,NA,NA,NA,NA,NA,NA,"LO64.11.2017",2018-03-12 00:00:56,0.0155555555555556,NA,NA
"26","Brian","LO6","194","open","pre","Larrea","malacothrix","4.11.2017","1:16:46",NA,"","","small fly","","","0:32:15","1:16:46","0:44:31",2,2,NA,NA,NA,NA,NA,NA,"LO64.11.2017",2018-03-12 00:44:31,0.741944444444444,NA,NA
