PlantID,date,time.start,duration (min),s.species,pre.post,visitor.rtu,v.species,behaviour,part.used,visitor.description,voucher?
262,4.11.2017,13:58,15,larrea,pre,syrphid,scaeva pyrastri,touchdown,branch,yellow and black,
262,4.11.2017,13:58,15,larrea,pre,syrphid,scaeva pyrastri,touchdown,branch,,
262,4.11.2017,13:58,15,larrea,pre,fly,fly,landing,branch,,
262,4.11.2017,13:58,15,larrea,pre,syrphid,scaeva pyrastri,touchdown,,,
262,4.11.2017,13:58,15,larrea,pre,syrphid,scaeva pyrastri,touchdown,,,
262,4.11.2017,13:58,15,larrea,pre,ladybeetle,asian lady beetle,,understory.ground,,
275,4.11.2017,14:15,15,larrea,pre,syrphid,scaeva pyrastri,hover,branch,,
275,4.11.2017,14:15,15,larrea,pre,syrphid,scaeva pyrastri,landing,branch,,
275,4.11.2017,14:15,15,larrea,pre,syrphid,scaeva pyrastri,hover then land,branch,,
275,4.11.2017,14:15,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,,
275,4.11.2017,14:15,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,,
275,4.11.2017,14:15,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,,
275,4.11.2017,14:15,15,larrea,pre,ladybeetle,asian lady beetle,landing,branch,,
275,4.11.2017,14:15,15,larrea,pre,ladybeetle,asian lady beetle,,branch,,
275,4.11.2017,14:15,15,larrea,pre,unknown,?,fly near,branch,,
289,4.11.2017,14:31,15,larrea,pre,lepidoptera,butterfly,fly near,understory,orange,
289,4.11.2017,14:31,15,larrea,pre,apis.mellifera,Apis mellifera,fly near,,,
289,4.11.2017,14:31,15,larrea,pre,syrphid,scaeva pyrastri,landing,understory,landed on crypt.,
289,4.11.2017,14:31,15,larrea,pre,syrphid,scaeva pyrastri,landing,understory,grass,
289,4.11.2017,14:31,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,,
289,4.11.2017,14:31,15,larrea,pre,syrphid,scaeva pyrastri,landing,understory,cyrpt,
289,4.11.2017,14:31,15,larrea,pre,syrphid,scaeva pyrastri,landing,branch,,
289,4.11.2017,14:31,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,,
289,4.11.2017,14:31,15,larrea,pre,centris,centris rhodopus,landing,understory,amsinckia,
289,4.11.2017,14:31,15,larrea,pre,apis.mellifera,Apis mellifera,fly near,branch,,
191,4.11.2017,14:48,15,larrea,pre,ladybeetle,asian lady beetle,landing,understory,yellow flower,
191,4.11.2017,14:48,15,larrea,pre,fly,fly,fly near,branch,small,
191,4.11.2017,14:48,15,larrea,pre,ladybeetle,asian lady beetle,landing,understory,yellow annual,
191,4.11.2017,14:48,15,larrea,pre,unknown,?,fly near,branch,,
191,4.11.2017,14:48,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,,
191,4.11.2017,14:48,15,larrea,pre,fly,fly,fly near,branch,tiny,
191,4.11.2017,14:48,15,larrea,pre,apis.mellifera,Apis mellifera,landing,understory,amsinckia,
234,4.12.2017,14:02,15,buckhorn,pre,ladybeetle,asian lady beetle,crawling,branch,,
234,4.12.2017,14:02,15,buckhorn,pre,syrphid,scaeva pyrastri,fly near,branch,,
234,4.12.2017,14:02,15,buckhorn,pre,larva,larva,crawling,branch,,
234,4.12.2017,14:02,15,buckhorn,pre,fly,fly,landing,branch,small,
234,4.12.2017,14:02,15,buckhorn,pre,syrphid,scaeva pyrastri,fly near,branch,,
234,4.12.2017,14:02,15,buckhorn,pre,wasp,parasitoid wasp,crawling,branch,"vibrating abdomen, look parastoid",
234,4.12.2017,14:02,15,buckhorn,pre,ant,ant,crawling,branch,,
234,4.12.2017,14:02,15,buckhorn,pre,syrphid,scaeva pyrastri,fly near,branch,,
234,4.12.2017,14:02,15,buckhorn,pre,ant,ant,crawling,branch,,
234,4.12.2017,14:02,15,buckhorn,pre,fly,fly,fly near,branch,small,
234,4.12.2017,14:02,15,buckhorn,pre,ant,ant,crawling,branch,,
237,4.12.2017,14:21,15,buckhorn,pre,syrphid,scaeva pyrastri,landing,branch,,
237,4.12.2017,14:21,15,buckhorn,pre,ladybeetle,asian lady beetle,crawling,understory,grass,
237,4.12.2017,14:21,15,buckhorn,pre,cuckoo wasp,chrysididae,landing,branch,may be cuckoo wasp?,
237,4.12.2017,14:21,15,buckhorn,pre,syrphid,scaeva pyrastri,fly near,branch,,
217,4.12.2017,14:42,15,buckhorn,pre,syrphid,scaeva pyrastri,landing,branch,,
217,4.12.2017,14:42,15,buckhorn,pre,ladybeetle,asian lady beetle,crawling,branch,,
217,4.12.2017,14:42,15,buckhorn,pre,ladybeetle,asian lady beetle,crawling,branch,,
204,4.12.2017,14:59,15,buckhorn,pre,spiderweb,spiderweb,habitat,,,
204,4.12.2017,14:59,15,buckhorn,pre,syrphid,scaeva pyrastri,landing,branch,trapped?,
204,4.12.2017,14:59,15,buckhorn,pre,acari,red spider mite,crawling,branch,red spider mite,
204,4.12.2017,14:59,15,buckhorn,pre,syrphid,scaeva pyrastri,fly near,branch,inspecting bud,
204,4.12.2017,14:59,15,buckhorn,pre,ladybeetle,asian lady beetle,crawling,branch,spines,
204,4.12.2017,14:59,15,buckhorn,pre,fly,fly,crawling,branch,tiny,
263,4.12.2017,15:30,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,,
263,4.12.2017,15:30,15,larrea,pre,wasp,ammophila,landing,branch,"red abdomen, thread-waisted, black thorax",
272,4.12.2017,15:59,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,,
272,4.12.2017,15:59,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,,
272,4.12.2017,15:59,15,larrea,pre,fly,fly,fly near,understory,tiny,
272,4.12.2017,15:59,15,larrea,pre,acari,red spider mite,crawling,branch,red spider mite,
272,4.12.2017,15:59,15,larrea,pre,fly,fly,fly near,branch,,
272,4.12.2017,15:59,15,larrea,pre,fly,fly,landing,branch,"tiny, black/red",
272,4.12.2017,15:59,15,larrea,pre,ladybeetle,asian lady beetle,landing,branch,,
189,4.12.2017,16:24,15,larrea,pre,fly,fly,landing,branch,tiny,
189,4.12.2017,16:24,15,larrea,pre,fly,fly,landing,branch,tiny,
293,4.12.2017,16:46,15,larrea,pre,fly,fly,fly near,branch,tiny,
293,4.12.2017,16:46,15,larrea,pre,fly,fly,fly near,branch,tiny,
293,4.12.2017,16:46,15,larrea,pre,fly,fly,landing,branch,gnat,
293,4.12.2017,16:46,15,larrea,pre,muscoid,Muscoidea,fly near,branch,,
300,4.13.2017,13:43,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,,
300,4.13.2017,13:43,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,,
300,4.13.2017,13:43,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,,
