"","PlantID","treatment","flowering","Date","TimeOut","flowers.shrub","flowers.pot","het.shrub.blooming.neighbours","het.cactus.blooming.neighbours","understory.richness","het.annual.floral.density","understory.assoc","uniID","rtu","total.visits","total.flowers","Length","pos.Length","dec.Length","visits.per.hour","flowers.per.hour"
"1","146","open","pre","4.10.2017","13:06",0,"18",0,0,5,0,"NO","LO14.10.2017","syrphid",18,35,"1:22:51",2018-06-18 01:22:51,1.38083333333333,13.0356065178033,25.3470126735063
"2","146","open","pre","4.10.2017","13:06",0,"18",0,0,5,0,"NO","LO14.10.2017","bee",2,5,"1:22:51",2018-06-18 01:22:51,1.38083333333333,1.44840072420036,3.62100181050091
"3","146","open","pre","4.10.2017","13:06",0,"18",0,0,5,0,"NO","LO14.10.2017","other",0,0,"1:22:51",2018-06-18 01:22:51,1.38083333333333,0,0
"4","146","open","pre","4.10.2017","13:06",0,"18",0,0,5,0,"NO","LO14.10.2017","bombylid",0,0,"1:22:51",2018-06-18 01:22:51,1.38083333333333,0,0
"5","146","open","pre","4.10.2017","13:06",0,"18",0,0,5,0,"NO","LO14.10.2017","lep",0,0,"1:22:51",2018-06-18 01:22:51,1.38083333333333,0,0
"6","146","open","pre","4.10.2017","13:06",0,"18",0,0,5,0,"NO","LO14.10.2017","honeybee",0,0,"1:22:51",2018-06-18 01:22:51,1.38083333333333,0,0
"7","146","shrub","pre","4.10.2017","13:06",0,"11",0,0,3,1,"NO","LS14.10.2017","syrphid",6,8,"1:37:04",2018-06-18 01:37:04,1.61777777777778,3.70879120879121,4.94505494505495
"8","146","shrub","pre","4.10.2017","13:06",0,"11",0,0,3,1,"NO","LS14.10.2017","bee",1,2,"1:37:04",2018-06-18 01:37:04,1.61777777777778,0.618131868131868,1.23626373626374
"9","146","shrub","pre","4.10.2017","13:06",0,"11",0,0,3,1,"NO","LS14.10.2017","other",0,0,"1:37:04",2018-06-18 01:37:04,1.61777777777778,0,0
"10","146","shrub","pre","4.10.2017","13:06",0,"11",0,0,3,1,"NO","LS14.10.2017","bombylid",0,0,"1:37:04",2018-06-18 01:37:04,1.61777777777778,0,0
"11","146","shrub","pre","4.10.2017","13:06",0,"11",0,0,3,1,"NO","LS14.10.2017","lep",0,0,"1:37:04",2018-06-18 01:37:04,1.61777777777778,0,0
"12","146","shrub","pre","4.10.2017","13:06",0,"11",0,0,3,1,"NO","LS14.10.2017","honeybee",0,0,"1:37:04",2018-06-18 01:37:04,1.61777777777778,0,0
"13","193","open","pre","4.10.2017","13:08",0,"8",0,0,3,1,"NO","LO24.10.2017","syrphid",24,33,"1:30:48",2018-06-18 01:30:48,1.51333333333333,15.8590308370044,21.8061674008811
"14","193","open","pre","4.10.2017","13:08",0,"8",0,0,3,1,"NO","LO24.10.2017","bee",0,0,"1:30:48",2018-06-18 01:30:48,1.51333333333333,0,0
"15","193","open","pre","4.10.2017","13:08",0,"8",0,0,3,1,"NO","LO24.10.2017","other",0,0,"1:30:48",2018-06-18 01:30:48,1.51333333333333,0,0
"16","193","open","pre","4.10.2017","13:08",0,"8",0,0,3,1,"NO","LO24.10.2017","bombylid",0,0,"1:30:48",2018-06-18 01:30:48,1.51333333333333,0,0
"17","193","open","pre","4.10.2017","13:08",0,"8",0,0,3,1,"NO","LO24.10.2017","lep",0,0,"1:30:48",2018-06-18 01:30:48,1.51333333333333,0,0
"18","193","open","pre","4.10.2017","13:08",0,"8",0,0,3,1,"NO","LO24.10.2017","honeybee",0,0,"1:30:48",2018-06-18 01:30:48,1.51333333333333,0,0
"19","193","shrub","pre","4.10.2017","13:08",0,"12",0,0,4,0,"NO","LS24.10.2017","syrphid",8,9,"1:40:22",2018-06-18 01:40:22,1.67277777777778,4.78246429757556,5.3802723347725
"20","193","shrub","pre","4.10.2017","13:08",0,"12",0,0,4,0,"NO","LS24.10.2017","bee",0,0,"1:40:22",2018-06-18 01:40:22,1.67277777777778,0,0
"21","193","shrub","pre","4.10.2017","13:08",0,"12",0,0,4,0,"NO","LS24.10.2017","other",0,0,"1:40:22",2018-06-18 01:40:22,1.67277777777778,0,0
"22","193","shrub","pre","4.10.2017","13:08",0,"12",0,0,4,0,"NO","LS24.10.2017","bombylid",0,0,"1:40:22",2018-06-18 01:40:22,1.67277777777778,0,0
"23","193","shrub","pre","4.10.2017","13:08",0,"12",0,0,4,0,"NO","LS24.10.2017","lep",0,0,"1:40:22",2018-06-18 01:40:22,1.67277777777778,0,0
"24","193","shrub","pre","4.10.2017","13:08",0,"12",0,0,4,0,"NO","LS24.10.2017","honeybee",0,0,"1:40:22",2018-06-18 01:40:22,1.67277777777778,0,0
"25","187","open","pre","4.10.2017","13:13",0,"12",0,0,4,19,"NO","LO34.10.2017","syrphid",9,13,"0:52:39",2018-06-18 00:52:39,0.8775,10.2564102564103,14.8148148148148
"26","187","open","pre","4.10.2017","13:13",0,"12",0,0,4,19,"NO","LO34.10.2017","bee",0,0,"0:52:39",2018-06-18 00:52:39,0.8775,0,0
"27","187","open","pre","4.10.2017","13:13",0,"12",0,0,4,19,"NO","LO34.10.2017","other",1,1,"0:52:39",2018-06-18 00:52:39,0.8775,1.13960113960114,1.13960113960114
"28","187","open","pre","4.10.2017","13:13",0,"12",0,0,4,19,"NO","LO34.10.2017","bombylid",0,0,"0:52:39",2018-06-18 00:52:39,0.8775,0,0
"29","187","open","pre","4.10.2017","13:13",0,"12",0,0,4,19,"NO","LO34.10.2017","lep",0,0,"0:52:39",2018-06-18 00:52:39,0.8775,0,0
"30","187","open","pre","4.10.2017","13:13",0,"12",0,0,4,19,"NO","LO34.10.2017","honeybee",0,0,"0:52:39",2018-06-18 00:52:39,0.8775,0,0
"31","187","shrub","pre","4.10.2017","13:13",0,"15",0,0,4,2,"NO","LS34.10.2017","syrphid",5,5,"0:43:00",2018-06-18 00:43:00,0.716666666666667,6.97674418604651,6.97674418604651
"32","187","shrub","pre","4.10.2017","13:13",0,"15",0,0,4,2,"NO","LS34.10.2017","bee",0,0,"0:43:00",2018-06-18 00:43:00,0.716666666666667,0,0
"33","187","shrub","pre","4.10.2017","13:13",0,"15",0,0,4,2,"NO","LS34.10.2017","other",0,0,"0:43:00",2018-06-18 00:43:00,0.716666666666667,0,0
"34","187","shrub","pre","4.10.2017","13:13",0,"15",0,0,4,2,"NO","LS34.10.2017","bombylid",0,0,"0:43:00",2018-06-18 00:43:00,0.716666666666667,0,0
"35","187","shrub","pre","4.10.2017","13:13",0,"15",0,0,4,2,"NO","LS34.10.2017","lep",0,0,"0:43:00",2018-06-18 00:43:00,0.716666666666667,0,0
"36","187","shrub","pre","4.10.2017","13:13",0,"15",0,0,4,2,"NO","LS34.10.2017","honeybee",0,0,"0:43:00",2018-06-18 00:43:00,0.716666666666667,0,0
"37","288","open","pre","4.10.2017","13:17",0,"7",1,0,3,0,"NO","LO44.10.2017","syrphid",7,7,"0:39:39",2018-06-18 00:39:39,0.660833333333333,10.5926860025221,10.5926860025221
"38","288","open","pre","4.10.2017","13:17",0,"7",1,0,3,0,"NO","LO44.10.2017","bee",0,0,"0:39:39",2018-06-18 00:39:39,0.660833333333333,0,0
