"","highest.rtu","n"
"1","Acalypterate",1
"2","Adeloidea",1
"3","Ammophila",4
"4","Ancylandrenalarreae",1
"5","Andrena",2
"6","Anthidium",4
"7","Anthocoridae",3
"8","Anthomyiidae",4
"9","Aphididae",10
"10","Aphoebantus",2
"11","Apismellifera",4
"12","Araneae",13
"13","Ashmeadiella",4
"14","Asilidae",76
"15","Atoposmia",1
"16","Berytidae",3
"17","Bombyliidae",23
"18","Braconidae",1
"19","Buprestidae",56
"20","Calliphoridae",1
"21","Canacidae",1
"22","Cecidomyiidae",49
"23","Cephranoidea",1
"24","Ceraphronidae",6
"25","Cercopidae",6
"26","Chalcididae",3
"27","Chamaemyiidae",1
"28","Chloropidae",19
"29","Chrysididae",12
"30","Chrysomelidae",7
"31","Chrysopidae",1
"32","Chyromyidae",1
"33","Cicadellidae",143
"34","Coccinellidae",6
"35","Colletes",2
"36","Crabronidae",38
"37","Curculionidae",15
"38","Cysteodemus",2
"39","damaged",1
"40","Delphacidae",2
"41","destroyed",12
"42","Diadasia",12
"43","Drosophilidae",1
"44","Dryinidae",1
"45","Dryudella",1
"46","Encrytidae",7
"47","Encyrtidae",14
"48","Ephydridae",10
"49","Eucera",2
"50","Eucharitidae",2
"51","Eulophidae",15
"52","Eumeninae",1
"53","Eupelmidae",11
"54","Eupeodesvolucris",19
"55","Eupomphaelegans",3
"56","Eurytomidae",4
"57","Figitidae",1
"58","Formicidae",39
"59","Geocoridae",13
"60","Halictus",7
"61","Harmostes",1
"62","Harpactorinae",10
"63","Heleomyzidae",46
"64","Hemiptera",1
"65","Hesperapis",2
"66","Hoplitis",1
"67","Ichneumonidae",1
"68","Lasioglossum",72
"69","Lepidoptera",1
"70","Lygaeoidea",18
"71","Lytta",1
"72","Lyttaauriculata",3
"73","Megachile",1
"74","Megandrena.encelia",14
"75","Megaspilidae",1
"76","Mellisodes",4
"77","Melyridae",196
"78","Membracidae",1
"79","Microcoryphia",1
"80","Milichiidae",8
"81","Miridae",64
"82","Miscophus",25
"83","Muscidae",3
"84","Mutillidae",11
"85","Mymaridae",1
"86","Myrmosidae",1
"87","Mythicomyiidae",103
"88","Nomadopsis",1
"89","Nymph",102
"90","Nymphalidae",2
"91","Omomyia",3
"92","Orthoptera",19
"93","Osmia",9
"94","Papilionidae",1
"95","Pemphredoninae",23
"96","Pentamoidae",6
"97","Perdita",1
"98","Perilampidae",1
"99","Phoridae",15
"100","Pipunculidae",7
"101","Platygastridae",6
"102","Pompilidae",13
"103","Pronotacanthaannulata",16
"104","Psylloidea",2
"105","Pteromalidae",22
"106","Rhopalidae",6
"107","Sarcophagidae",22
"108","Sciaridae",6
"109","Signiphoridae",3
"110","Solifugae",3
"111","Sphecidae",1
"112","Tachinidae",17
"113","Tephritidae",7
"114","Tersilochinae",1
"115","Therevidae",4
"116","Thysanoptera",72
"117","Tingidae",2
"118","Torymidae",9
"119","Toxomerusmarginatus",1
"120","Trichogrammatidae",4
"121","Trichoptera",1
"122","Usiinae",8
"123","Zeroes",2
